
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-10-01 00:00";9.39;"A";5.02;"A";3.7;"A";16.9;"A";42.91;"A";99.9;"A";4177.33;"A";4188.27;"A";10.51;"A";57.17;"A";1010.36;"A";41;"A";25;"A";8;"A";1;"A";18;"A"
"2025-10-01 00:15";9.42;"A";5.65;"A";4.05;"A";16.85;"A";43.85;"A";99.85;"A";4195.67;"A";4209.47;"A";10.43;"A";58.58;"A";1010.27;"A";44;"A";25;"A";8;"A";2;"A";18;"A"
"2025-10-01 00:30";8.71;"A";5.47;"A";3.94;"A";16.81;"A";44.67;"A";99.92;"A";4196.27;"A";4208.87;"A";10.35;"A";59.99;"A";1010.25;"A";48;"A";25;"A";8;"A";1;"A";17;"A"
"2025-10-01 00:45";9.48;"A";5.89;"A";3.99;"A";16.73;"A";46.17;"A";99.93;"A";4180;"A";4189.8;"A";10.2;"A";62.8;"A";1010.07;"A";49;"A";24;"A";8;"A";1;"A";16;"A"
"2025-10-01 01:00";8.04;"A";5.12;"A";3.68;"A";16.59;"A";47.92;"A";99.75;"A";4176.13;"A";4187.73;"A";9.82;"A";65.99;"A";1010.03;"A";42;"A";24;"A";7;"A";2;"A";17;"A"
"2025-10-01 01:15";7.26;"A";4.05;"A";2.83;"A";16.27;"A";48.86;"A";99.81;"A";4195.33;"A";4207.67;"A";9.51;"A";67.13;"A";1010.02;"A";30;"A";25;"A";7;"A";1;"A";18;"A"
"2025-10-01 01:30";7.52;"A";4.24;"A";2.99;"A";15.99;"A";50.16;"A";99.88;"A";4195.8;"A";4209.07;"A";9.36;"A";68.58;"A";1009.99;"A";25;"A";25;"A";7;"A";2;"A";18;"A"
"2025-10-01 01:45";7.47;"A";4.47;"A";2.99;"A";15.8;"A";51.34;"A";99.79;"A";4159.13;"A";4167.47;"A";9.15;"A";70.35;"A";1009.96;"A";25;"A";23;"A";7;"A";1;"A";17;"A"
"2025-10-01 02:00";8.72;"A";4.78;"A";3.35;"A";15.61;"A";51.9;"A";99.67;"A";4190.87;"A";4204.47;"A";8.99;"A";70.62;"A";1009.87;"A";24;"A";23;"A";6;"A";1;"A";17;"A"
"2025-10-01 02:15";7.53;"A";4.62;"A";3.31;"A";15.43;"A";52.36;"A";99.78;"A";4195.33;"A";4208.13;"A";8.93;"A";70.95;"A";1009.72;"A";24;"A";23;"A";6;"A";2;"A";17;"A"
"2025-10-01 02:30";8.14;"A";5.45;"A";3.78;"A";15.35;"A";52.89;"A";99.86;"A";4195.6;"A";4209;"A";8.85;"A";71.9;"A";1009.58;"A";32;"A";23;"A";7;"A";2;"A";16;"A"
"2025-10-01 02:45";9.01;"A";5.85;"A";4.15;"A";15.34;"A";54.04;"A";99.83;"A";4178.27;"A";4189.27;"A";8.59;"A";74.71;"A";1009.44;"A";42;"A";21;"A";6;"A";2;"A";15;"A"
"2025-10-01 03:00";9.18;"A";5.76;"A";4.14;"A";15.22;"A";54.39;"A";99.83;"A";4193.4;"A";4207.33;"A";8.56;"A";74.36;"A";1009.4;"A";37;"A";22;"A";7;"A";2;"A";15;"A"
"2025-10-01 03:15";9.34;"A";5.7;"A";4.07;"A";15.14;"A";54.86;"A";99.87;"A";4195.8;"A";4208.87;"A";8.62;"A";74.22;"A";1009.38;"A";33;"A";21;"A";7;"A";2;"A";14;"A"
