
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-02-01 00:00";79.17;"A";58.9;"A";51.57;"A";16.32;"A";60.03;"A";;"N";;"N";;"N";8.89;"A";93.39;"A";1012.09;"A";168;"A";16;"A";14;"A";3;"A";2;"A"
"2025-02-01 00:15";85.17;"A";63.38;"A";55.5;"A";16.31;"A";60;"A";;"N";;"N";;"N";8.86;"A";93.54;"A";1012.07;"A";215;"A";16;"A";14;"A";4;"A";2;"A"
"2025-02-01 00:30";83.61;"A";62.21;"A";54.48;"A";16.32;"A";59.98;"A";;"N";;"N";;"N";8.81;"A";93.74;"A";1012.08;"A";229;"A";15;"A";15;"A";4;"A";1;"A"
"2025-02-01 00:45";73.64;"A";54.76;"A";47.95;"A";16.32;"A";59.97;"A";;"N";;"N";;"N";8.77;"A";93.92;"A";1012.17;"A";181;"A";14;"A";10;"A";5;"A";3;"A"
"2025-02-01 01:00";75.75;"A";56.34;"A";49.33;"A";16.31;"A";60.01;"A";;"N";;"N";;"N";8.77;"A";94;"A";1012.24;"A";170;"A";14;"A";10;"A";4;"A";4;"A"
"2025-02-01 01:15";74.34;"A";55.29;"A";48.41;"A";16.3;"A";60.04;"A";;"N";;"N";;"N";8.8;"A";93.85;"A";1012.15;"A";155;"A";15;"A";12;"A";4;"A";3;"A"
"2025-02-01 01:30";73.34;"A";54.54;"A";47.75;"A";16.35;"A";59.98;"A";;"N";;"N";;"N";8.88;"A";93.43;"A";1012.17;"A";149;"A";15;"A";13;"A";3;"A";2;"A"
"2025-02-01 01:45";80.3;"A";59.74;"A";52.31;"A";16.32;"A";59.96;"A";;"N";;"N";;"N";8.96;"A";92.66;"A";1012.06;"A";154;"A";17;"A";14;"A";3;"A";3;"A"
"2025-02-01 02:00";74.88;"A";55.69;"A";48.76;"A";16.23;"A";59.97;"A";;"N";;"N";;"N";8.87;"A";92.92;"A";1011.99;"A";157;"A";17;"A";15;"A";4;"A";2;"A"
"2025-02-01 02:15";69.32;"A";51.54;"A";45.13;"A";16.18;"A";59.99;"A";;"N";;"N";;"N";8.85;"A";92.7;"A";1012;"A";156;"A";15;"A";10;"A";4;"A";5;"A"
"2025-02-01 02:30";70.21;"A";52.2;"A";45.7;"A";16.09;"A";60;"A";;"N";;"N";;"N";8.87;"A";92.02;"A";1011.87;"A";180;"A";15;"A";9;"A";5;"A";6;"A"
"2025-02-01 02:45";67.34;"A";50.06;"A";43.83;"A";15.96;"A";59.99;"A";;"N";;"N";;"N";8.91;"A";90.78;"A";1011.81;"A";179;"A";16;"A";10;"A";4;"A";6;"A"
"2025-02-01 03:00";63.05;"A";46.86;"A";41.02;"A";15.86;"A";59.96;"A";;"N";;"N";;"N";8.92;"A";90.31;"A";1011.7;"A";160;"A";16;"A";11;"A";4;"A";5;"A"
"2025-02-01 03:15";56.15;"A";41.7;"A";36.5;"A";15.81;"A";59.97;"A";;"N";;"N";;"N";8.92;"A";90.12;"A";1011.69;"A";165;"A";16;"A";9;"A";4;"A";7;"A"
"2025-02-01 03:30";56.57;"A";42.02;"A";36.78;"A";15.77;"A";59.97;"A";;"N";;"N";;"N";8.97;"A";89.61;"A";1011.59;"A";173;"A";16;"A";11;"A";4;"A";5;"A"
"2025-02-01 03:45";59.51;"A";44.22;"A";38.71;"A";15.65;"A";60.02;"A";;"N";;"N";;"N";9;"A";89;"A";1011.46;"A";127;"A";17;"A";11;"A";3;"A";6;"A"
"2025-02-01 04:00";70.65;"A";52.53;"A";45.99;"A";15.6;"A";60;"A";;"N";;"N";;"N";8.98;"A";89.25;"A";1011.42;"A";114;"A";15;"A";10;"A";3;"A";5;"A"
"2025-02-01 04:15";60.97;"A";45.31;"A";39.66;"A";15.64;"A";59.98;"A";;"N";;"N";;"N";8.96;"A";89.44;"A";1011.38;"A";128;"A";15;"A";10;"A";4;"A";5;"A"
"2025-02-01 04:30";54.72;"A";40.64;"A";35.57;"A";15.64;"A";59.97;"A";;"N";;"N";;"N";8.9;"A";89.66;"A";1011.33;"A";122;"A";14;"A";10;"A";4;"A";4;"A"
"2025-02-01 04:45";50.11;"A";37.19;"A";32.55;"A";15.63;"A";60.01;"A";;"N";;"N";;"N";8.89;"A";89.64;"A";1011.31;"A";114;"A";14;"A";9;"A";4;"A";6;"A"
"2025-02-01 05:00";54.71;"A";40.63;"A";35.56;"A";15.63;"A";60.03;"A";;"N";;"N";;"N";8.86;"A";90.01;"A";1011.18;"A";123;"A";14;"A";10;"A";4;"A";4;"A"
"2025-02-01 05:15";53.31;"A";39.58;"A";34.65;"A";15.59;"A";60.02;"A";;"N";;"N";;"N";8.78;"A";90.45;"A";1011.1;"A";120;"A";15;"A";10;"A";3;"A";4;"A"
"2025-02-01 05:30";54.25;"A";40.29;"A";35.26;"A";15.63;"A";59.99;"A";;"N";;"N";;"N";8.72;"A";91.08;"A";1010.97;"A";135;"A";15;"A";12;"A";3;"A";3;"A"
"2025-02-01 05:45";51.74;"A";38.42;"A";33.62;"A";15.64;"A";60;"A";;"N";;"N";;"N";8.6;"A";91.73;"A";1010.9;"A";143;"A";14;"A";11;"A";4;"A";2;"A"
"2025-02-01 06:00";52.52;"A";39;"A";34.13;"A";15.72;"A";60.03;"A";;"N";;"N";;"N";8.52;"A";92.44;"A";1010.96;"A";119;"A";14;"A";12;"A";4;"A";1;"A"
"2025-02-01 06:15";55.07;"A";40.9;"A";35.8;"A";15.76;"A";60.03;"A";;"N";;"N";;"N";8.54;"A";92.58;"A";1010.96;"A";101;"A";13;"A";10;"A";4;"A";3;"A"
"2025-02-01 06:30";69.16;"A";51.42;"A";45.02;"A";15.85;"A";60.02;"A";;"N";;"N";;"N";8.48;"A";93.61;"A";1011.02;"A";118;"A";12;"A";11;"A";4;"A";1;"A"
"2025-02-01 06:45";67.85;"A";50.44;"A";44.16;"A";15.96;"A";59.97;"A";;"N";;"N";;"N";8.47;"A";94.07;"A";1011.01;"A";171;"A";12;"A";11;"A";5;"A";1;"A"
"2025-02-01 07:00";50.38;"A";37.39;"A";32.73;"A";16.01;"A";59.98;"A";;"N";;"N";;"N";8.42;"A";94.54;"A";1011.12;"A";177;"A";12;"A";11;"A";5;"A";2;"A"
"2025-02-01 07:15";49.46;"A";36.71;"A";32.12;"A";16.01;"A";60.04;"A";;"N";;"N";;"N";8.43;"A";94.77;"A";1011.04;"A";146;"A";12;"A";10;"A";5;"A";2;"A"
"2025-02-01 07:30";53.49;"A";39.72;"A";34.77;"A";15.96;"A";60;"A";;"N";;"N";;"N";8.39;"A";94.8;"A";1010.95;"A";166;"A";14;"A";12;"A";4;"A";2;"A"
"2025-02-01 07:45";43.5;"A";32.26;"A";28.23;"A";15.82;"A";60.03;"A";;"N";;"N";;"N";8.29;"A";94.92;"A";1011.06;"A";206;"A";17;"A";16;"A";3;"A";1;"A"
"2025-02-01 08:00";43.52;"A";32.27;"A";28.24;"A";15.78;"A";59.96;"A";;"N";;"N";;"N";8.16;"A";95.37;"A";1011.31;"A";134;"A";14;"A";13;"A";4;"A";1;"A"
"2025-02-01 08:15";32.11;"A";23.75;"A";20.77;"A";15.78;"A";59.99;"A";;"N";;"N";;"N";8.1;"A";95.29;"A";1011.38;"A";150;"A";14;"A";15;"A";4;"A";0;"A"
"2025-02-01 08:30";27.74;"A";20.49;"A";17.92;"A";15.64;"A";60.03;"A";;"N";;"N";;"N";8;"A";94.98;"A";1011.42;"A";150;"A";14;"A";14;"A";4;"A";1;"A"
"2025-02-01 08:45";34.07;"A";25.22;"A";22.06;"A";15.61;"A";60.03;"A";;"N";;"N";;"N";7.93;"A";95.09;"A";1011.48;"A";153;"A";13;"A";12;"A";4;"A";1;"A"
"2025-02-01 09:00";43.12;"A";31.97;"A";27.98;"A";15.56;"A";59.96;"A";;"N";;"N";;"N";7.82;"A";95.1;"A";1011.48;"A";147;"A";13;"A";13;"A";4;"A";1;"A"
"2025-02-01 09:15";64.56;"A";47.99;"A";42.01;"A";15.54;"A";60;"A";;"N";;"N";;"N";7.84;"A";95.43;"A";1011.59;"A";289;"A";15;"A";15;"A";4;"A";1;"A"
"2025-02-01 09:30";56.35;"A";41.85;"A";36.63;"A";15.68;"A";60;"A";;"N";;"N";;"N";7.95;"A";95.26;"A";1011.46;"A";583;"A";17;"A";16;"A";5;"A";1;"A"
"2025-02-01 09:45";72.28;"A";53.75;"A";47.06;"A";15.59;"A";59.97;"A";;"N";;"N";;"N";7.82;"A";95.14;"A";1011.36;"A";393;"A";15;"A";16;"A";5;"A";0;"A"
"2025-02-01 10:00";57.13;"A";42.44;"A";37.15;"A";15.38;"A";60.01;"A";;"N";;"N";;"N";7.82;"A";94.74;"A";1011.53;"A";661;"A";15;"A";14;"A";6;"A";1;"A"
"2025-02-01 10:15";52.83;"A";39.22;"A";34.33;"A";15.46;"A";60.02;"A";;"N";;"N";;"N";7.94;"A";94.28;"A";1011.53;"A";1691;"A";15;"A";14;"A";7;"A";1;"A"
"2025-02-01 10:30";57.33;"A";42.58;"A";37.27;"A";15.47;"A";59.92;"A";;"N";;"N";;"N";7.91;"A";94.15;"A";1011.62;"A";771;"A";15;"A";15;"A";5;"A";0;"A"
"2025-02-01 10:45";72.09;"A";53.61;"A";46.94;"A";15.46;"A";60.04;"A";;"N";;"N";;"N";7.92;"A";94.68;"A";1011.61;"A";853;"A";15;"A";15;"A";5;"A";1;"A"
"2025-02-01 11:00";88.75;"A";66.05;"A";57.84;"A";15.54;"A";60.04;"A";;"N";;"N";;"N";7.96;"A";95;"A";1011.68;"A";3050;"A";15;"A";14;"A";12;"A";1;"A"
"2025-02-01 11:15";54.53;"A";40.5;"A";35.45;"A";15.64;"A";60.04;"A";;"N";;"N";;"N";7.93;"A";95.49;"A";1011.61;"A";528;"A";14;"A";13;"A";5;"A";1;"A"
