
"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-08-01 05:30";10.81;"A";7.73;"A";5.58;"A";25.95;"A";48.72;"A";99.85;"A";4195.6;"A";4208.53;"A";18.75;"A";65.51;"A";998.18;"A";78;"A";20;"A";9;"A";1;"A";11;"A"
"2025-08-01 05:45";10.15;"A";7.46;"A";5.49;"A";25.86;"A";48.85;"A";99.92;"A";4196.2;"A";4209.13;"A";18.83;"A";65.11;"A";998.31;"A";77;"A";22;"A";11;"A";1;"A";11;"A"
"2025-08-01 06:00";11.48;"A";9.04;"A";6.36;"A";25.86;"A";48.64;"A";99.85;"A";4180.47;"A";4192.6;"A";18.83;"A";65;"A";998.34;"A";87;"A";22;"A";11;"A";1;"A";11;"A"
"2025-08-01 06:15";14.2;"A";10.63;"A";7.84;"A";25.86;"A";48.74;"A";99.88;"A";4195.8;"A";4209.4;"A";18.81;"A";65.07;"A";998.32;"A";111;"A";21;"A";9;"A";1;"A";12;"A"
"2025-08-01 06:30";12.61;"A";8.75;"A";6.64;"A";25.84;"A";48.16;"A";99.85;"A";4177.47;"A";4188.6;"A";18.87;"A";63.83;"A";998.47;"A";88;"A";22;"A";7;"A";1;"A";15;"A"
"2025-08-01 06:45";17.68;"A";10.12;"A";7;"A";25.87;"A";47.57;"A";99.82;"A";4195.8;"A";4209.33;"A";19.01;"A";62.38;"A";998.46;"A";79;"A";23;"A";7;"A";1;"A";15;"A"
"2025-08-01 07:00";9.31;"A";6.46;"A";4.81;"A";25.97;"A";47.08;"A";99.89;"A";4196.2;"A";4209.13;"A";19.27;"A";60.9;"A";998.44;"A";79;"A";24;"A";8;"A";1;"A";16;"A"
"2025-08-01 07:15";8.4;"A";6.87;"A";4.89;"A";26.15;"A";46.46;"A";99.94;"A";4188.2;"A";4200.4;"A";19.68;"A";59.18;"A";998.57;"A";80;"A";24;"A";7;"A";0;"A";17;"A"
"2025-08-01 07:30";7.87;"A";6.47;"A";4.38;"A";26.44;"A";44.92;"A";99.82;"A";4181.4;"A";4193.93;"A";20.11;"A";56.25;"A";998.48;"A";75;"A";26;"A";7;"A";0;"A";20;"A"
"2025-08-01 07:45";7.72;"A";5.42;"A";3.83;"A";26.77;"A";43.37;"A";99.87;"A";4195.73;"A";4209.47;"A";20.64;"A";53.61;"A";998.5;"A";77;"A";30;"A";7;"A";0;"A";23;"A"
"2025-08-01 08:00";7.36;"A";4.98;"A";3.59;"A";27.28;"A";41.74;"A";99.93;"A";4196.47;"A";4209.13;"A";21.39;"A";50.35;"A";998.66;"A";78;"A";31;"A";6;"A";0;"A";25;"A"
"2025-08-01 08:15";7.35;"A";5.28;"A";3.66;"A";27.89;"A";39.65;"A";99.98;"A";4197;"A";4210.33;"A";21.86;"A";48.43;"A";998.75;"A";73;"A";34;"A";8;"A";0;"A";27;"A"
"2025-08-01 08:30";7.97;"A";5.31;"A";3.76;"A";28.41;"A";38.99;"A";99.91;"A";4169.67;"A";4179.27;"A";22.38;"A";47.78;"A";998.93;"A";86;"A";33;"A";7;"A";0;"A";26;"A"
"2025-08-01 08:45";7;"A";5.25;"A";3.75;"A";28.91;"A";37.67;"A";99.74;"A";4187.2;"A";4199.53;"A";22.87;"A";45.69;"A";998.87;"A";82;"A";35;"A";8;"A";0;"A";27;"A"
"2025-08-01 09:00";8.06;"A";4.92;"A";3.7;"A";29.35;"A";36.88;"A";99.83;"A";4195.47;"A";4208.6;"A";23.06;"A";45.45;"A";998.84;"A";78;"A";36;"A";7;"A";0;"A";29;"A"
"2025-08-01 09:15";6.45;"A";4.91;"A";3.57;"A";29.8;"A";35.91;"A";99.9;"A";4196.13;"A";4209.53;"A";23.52;"A";43.9;"A";998.68;"A";75;"A";36;"A";6;"A";0;"A";30;"A"
"2025-08-01 09:30";6.5;"A";4.59;"A";3.44;"A";30.28;"A";34.74;"A";99.95;"A";4196.67;"A";4210;"A";24.18;"A";41.81;"A";998.76;"A";76;"A";38;"A";7;"A";0;"A";31;"A"
"2025-08-01 09:45";7.35;"A";4.86;"A";3.31;"A";31;"A";33.35;"A";99.89;"A";4169.6;"A";4179.8;"A";24.75;"A";40.22;"A";999.06;"A";81;"A";38;"A";6;"A";0;"A";32;"A"
"2025-08-01 10:00";6.82;"A";4.22;"A";3.12;"A";31.82;"A";31.6;"A";99.78;"A";4195.33;"A";4208.67;"A";25.58;"A";37.94;"A";998.93;"A";88;"A";40;"A";7;"A";0;"A";33;"A"
