Березень_ПОСТ2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";Температура модуля PM (внутрішня), °C;"QC (температура модуля)
";"Відносна вологість модуля PM (внутрішня), %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря (зовнішня)
";"QC (температура повітря)
";"Відносна вологість повітря (зовнішня), %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
01.03.2025 00:15;94.58;A;4213.87;A;4212.8;A;71.88;A;55.35;A;38.41;A;4.16;A;50.14;A;29;A;-1.46;A;66.65;A;1024.87;A;21;A;0;A;8;A;158;A;0;A;130;A
01.03.2025 00:30;94.59;A;4213.73;A;4212.53;A;82.31;A;62.81;A;42.3;A;3.96;A;52.03;A;30;A;-1.59;A;69.79;A;1025.05;A;19;A;0;A;11;A;418;A;0;A;273.33;A
01.03.2025 00:45;94.59;A;4214;A;4212.8;A;85.75;A;65.99;A;45.5;A;3.78;A;53.85;A;29;A;-1.81;A;71.67;A;1025.12;A;19;A;0;A;9;A;369;A;0;A;230;A
01.03.2025 01:00;94.42;A;4184.07;A;4178.93;A;83.97;A;64.54;A;44.24;A;3.6;A;54.53;A;28;A;-2;A;72.6;A;1025.1;A;18;A;1;A;9;A;370;A;0;A;240;A
01.03.2025 01:15;94.36;A;4211.53;A;4211.53;A;89.46;A;69.74;A;46.25;A;3.36;A;55.37;A;27;A;-2.27;A;74.43;A;1025.21;A;18;A;0;A;8;A;320;A;0;A;233.33;A
01.03.2025 01:30;94.44;A;4212.47;A;4211.67;A;103.66;A;80.46;A;53.41;A;3.14;A;57.13;A;27;A;-2.52;A;77.51;A;1025.3;A;15;A;1;A;12;A;582;A;0;A;170;A
01.03.2025 01:45;94.49;A;4212.67;A;4211.67;A;117.06;A;90.33;A;60.08;A;2.94;A;58.78;A;26;A;-2.68;A;78.97;A;1025.39;A;13;A;1;A;13;A;633;A;0;A;106.67;A
01.03.2025 02:00;94.52;A;4213.13;A;4212.13;A;101.08;A;77.71;A;51.85;A;2.73;A;59.44;A;26;A;-3.02;A;80.2;A;1025.24;A;16;A;0;A;10;A;308;A;0;A;323.33;A
01.03.2025 02:15;94.54;A;4213.8;A;4212.4;A;111.71;A;83.52;A;60.87;A;2.51;A;59.89;A;26;A;-3.28;A;81.52;A;1025.29;A;14;A;1;A;12;A;537;A;0.33;A;133.33;A
01.03.2025 02:30;94.56;A;4213.73;A;4212.67;A;97.45;A;67.1;A;59.09;A;2.7;A;60.06;A;26;A;-3.33;A;83.18;A;1025.26;A;17;A;1;A;9;A;353;A;0;A;160;A
01.03.2025 02:45;94.57;A;4213.8;A;4212.33;A;105.52;A;72.63;A;63.97;A;2.86;A;60.01;A;26;A;-3.26;A;83.14;A;1025.19;A;18;A;0;A;8;A;333;A;0;A;193.33;A
01.03.2025 03:00;94.57;A;4213.87;A;4212.4;A;104.94;A;72.24;A;63.62;A;2.97;A;59.98;A;26;A;-3.18;A;83.18;A;1025.19;A;17;A;0;A;9;A;408;A;0.33;A;150;A
01.03.2025 03:15;94.58;A;4214;A;4212.73;A;99.1;A;68.23;A;60.09;A;2.99;A;59.98;A;27;A;-3.17;A;83.31;A;1025.2;A;17;A;0;A;9;A;491;A;0.67;A;163.33;A
01.03.2025 03:30;94.58;A;4213.87;A;4212.73;A;93.34;A;64.28;A;56.61;A;2.89;A;60.05;A;27;A;-3.32;A;83.86;A;1025.18;A;17;A;0;A;10;A;481;A;0.33;A;90;A
01.03.2025 03:45;94.58;A;4213.73;A;4212.53;A;91.62;A;63.1;A;55.57;A;2.91;A;60.1;A;27;A;-3.35;A;84.36;A;1025.22;A;16;A;0;A;12;A;509;A;0.33;A;173.33;A
01.03.2025 04:00;94.58;A;4213.87;A;4212.6;A;89.87;A;61.9;A;54.51;A;3.16;A;59.97;A;26;A;-3.32;A;85.23;A;1025.39;A;20;A;1;A;6;A;161;A;0;A;83.33;A
01.03.2025 04:15;94.58;A;4213.87;A;4212.53;A;82.45;A;56.81;A;50.03;A;3.2;A;59.99;A;27;A;-3.33;A;85.25;A;1025.38;A;20;A;0;A;6;A;115;A;0;A;103.33;A
01.03.2025 04:30;94.58;A;4213.87;A;4212.33;A;79.84;A;55.02;A;48.45;A;3.22;A;60.04;A;27;A;-3.38;A;85.92;A;1025.51;A;20;A;0;A;7;A;147;A;0;A;116.67;A
01.03.2025 04:45;94.58;A;4213.93;A;4212.4;A;84.74;A;58.38;A;51.41;A;3.37;A;60.09;A;26;A;-3.25;A;86.19;A;1025.54;A;20;A;0;A;7;A;148;A;0;A;173.33;A
01.03.2025 05:00;94.58;A;4213.93;A;4212.87;A;89.41;A;61.59;A;54.24;A;3.64;A;59.98;A;26;A;-3.09;A;86.28;A;1025.61;A;19;A;0;A;7;A;151;A;0;A;26.67;A
01.03.2025 05:15;94.58;A;4214;A;4212.67;A;85.99;A;59.24;A;52.17;A;3.66;A;59.96;A;27;A;-2.97;A;85.75;A;1025.51;A;21;A;0;A;5;A;131;A;0.33;A;6.67;A
01.03.2025 05:30;94.58;A;4213.8;A;4212.4;A;90.38;A;62.25;A;54.82;A;3.77;A;60;A;26;A;-2.91;A;85.92;A;1025.64;A;20;A;0;A;6;A;176;A;0;A;96.67;A
01.03.2025 05:45;94.58;A;4213.8;A;4212.2;A;83.97;A;57.85;A;50.95;A;3.73;A;60.01;A;27;A;-2.94;A;86.12;A;1025.65;A;22;A;0;A;5;A;127;A;0;A;60;A
01.03.2025 06:00;94.58;A;4213.87;A;4212.33;A;88.22;A;60.77;A;53.52;A;3.75;A;59.98;A;27;A;-2.77;A;85.48;A;1025.62;A;21;A;0;A;6;A;136;A;0;A;126.67;A
01.03.2025 06:15;94.57;A;4213.87;A;4212.67;A;84.52;A;58.23;A;51.28;A;3.84;A;59.98;A;27;A;-2.66;A;85.4;A;1025.63;A;19;A;0;A;7;A;140;A;0;A;160;A
01.03.2025 06:30;94.57;A;4213.87;A;4212.87;A;89.88;A;61.91;A;54.52;A;3.82;A;59.93;A;26;A;-2.73;A;85.33;A;1025.67;A;20;A;0;A;6;A;174;A;0;A;170;A
01.03.2025 06:45;94.57;A;4213.87;A;4212.53;A;83.1;A;57.25;A;50.42;A;3.59;A;59.98;A;27;A;-2.77;A;84.78;A;1025.74;A;21;A;0;A;6;A;156;A;0.33;A;90;A
01.03.2025 07:00;94.57;A;4213.93;A;4212.53;A;80.51;A;55.47;A;48.86;A;3.54;A;60.06;A;27;A;-2.87;A;85.12;A;1025.89;A;21;A;0;A;6;A;149;A;0.33;A;210;A
01.03.2025 07:15;94.57;A;4213.93;A;4212.8;A;82.38;A;56.76;A;49.99;A;3.62;A;59.96;A;27;A;-2.83;A;84.7;A;1025.91;A;19;A;0;A;7;A;201;A;0.33;A;140;A
01.03.2025 07:30;94.57;A;4213.93;A;4212.4;A;75.35;A;52.74;A;45.31;A;3.56;A;60.01;A;27;A;-2.68;A;84.18;A;1025.92;A;19;A;0;A;8;A;158;A;0;A;116.67;A
01.03.2025 07:45;94.57;A;4213.87;A;4212.47;A;64.7;A;45.82;A;39.02;A;3.45;A;59.87;A;28;A;-2.58;A;82.82;A;1025.88;A;22;A;0;A;6;A;113;A;0.33;A;183.33;A
01.03.2025 08:00;94.57;A;4214;A;4212.8;A;62.21;A;43.77;A;37.09;A;3.28;A;59.96;A;29;A;-2.59;A;81.92;A;1025.98;A;23;A;0;A;6;A;113;A;0;A;100;A
01.03.2025 08:15;94.57;A;4213.87;A;4212.6;A;63.39;A;43.73;A;38.51;A;3.32;A;60.04;A;29;A;-2.53;A;81.8;A;1025.96;A;23;A;0;A;6;A;98;A;0.33;A;96.67;A
01.03.2025 08:30;94.56;A;4214;A;4212.47;A;69.03;A;48.55;A;40.83;A;3.42;A;59.99;A;29;A;-2.27;A;81.5;A;1026.02;A;22;A;0;A;7;A;134;A;0;A;90;A
01.03.2025 08:45;94.56;A;4213.87;A;4212.6;A;69.25;A;47.75;A;42.06;A;3.59;A;59.94;A;28;A;-2.03;A;80.87;A;1026.13;A;21;A;0;A;7;A;166;A;0;A;140;A
01.03.2025 09:00;94.56;A;4213.8;A;4212.6;A;76.46;A;54.87;A;44.72;A;3.6;A;59.74;A;28;A;-1.93;A;80;A;1026.28;A;21;A;0;A;7;A;276;A;0;A;93.33;A
01.03.2025 09:15;94.56;A;4213.93;A;4212.67;A;80.67;A;64.56;A;42.9;A;3.5;A;59.68;A;29;A;-1.8;A;79.03;A;1026.41;A;22;A;0;A;7;A;230;A;0;A;133.33;A
01.03.2025 09:30;94.56;A;4214.13;A;4213.07;A;72.07;A;56.78;A;40.36;A;3.59;A;59.82;A;29;A;-1.69;A;79.5;A;1026.33;A;22;A;0;A;7;A;140;A;0;A;173.33;A
01.03.2025 09:45;94.56;A;4213.67;A;4212.47;A;83.74;A;67.08;A;44.19;A;3.72;A;59.46;A;29;A;-1.55;A;77.98;A;1026.42;A;21;A;0;A;9;A;277;A;0;A;143.33;A
01.03.2025 10:00;94.56;A;4213.87;A;4213.13;A;76.07;A;60.62;A;40.21;A;3.88;A;58.71;A;30;A;-1.41;A;77.02;A;1026.42;A;24;A;0;A;6;A;173;A;0;A;166.67;A
01.03.2025 10:15;94.56;A;4213.8;A;4212.93;A;64.06;A;52.68;A;35.53;A;4.04;A;58.31;A;30;A;-1.2;A;76.73;A;1026.32;A;25;A;0;A;6;A;109;A;0.33;A;180;A
01.03.2025 10:30;94.56;A;4213.8;A;4212.73;A;54.3;A;42.99;A;29.07;A;4.32;A;57.54;A;31;A;-0.18;A;71.82;A;1026.13;A;25;A;0;A;5;A;104;A;0.33;A;213.33;A
01.03.2025 10:45;94.56;A;4213.73;A;4212.93;A;67.64;A;54.9;A;37.01;A;5.2;A;54.32;A;30;A;0.82;A;66.89;A;1025.86;A;23;A;0;A;6;A;329;A;0;A;76.67;A
01.03.2025 11:00;94.56;A;4213.73;A;4213.4;A;59.97;A;49.34;A;33.53;A;6.28;A;51.09;A;31;A;1.91;A;61.29;A;1025.83;A;22;A;0;A;9;A;342;A;0;A;140;A
01.03.2025 11:15;94.55;A;4213.87;A;4214.27;A;51.34;A;40.05;A;27.69;A;7.29;A;47.61;A;32;A;2.23;A;60.22;A;1025.72;A;24;A;0;A;8;A;284;A;0;A;243.33;A
01.03.2025 11:30;94.55;A;4213.8;A;4214.13;A;46.2;A;37.1;A;24.95;A;8.08;A;44.93;A;32;A;2.95;A;56.04;A;1025.64;A;24;A;0;A;8;A;261;A;0;A;196.67;A
01.03.2025 11:45;94.55;A;4213.73;A;4213.47;A;42.23;A;33.75;A;23.29;A;8.72;A;42.22;A;33;A;3.14;A;54.08;A;1025.48;A;25;A;0;A;8;A;224;A;0;A;10;A
01.03.2025 12:00;94.55;A;4213.67;A;4213.27;A;40.22;A;32.43;A;22.27;A;8.94;A;41.81;A;32;A;3.5;A;53;A;1025.36;A;24;A;0;A;8;A;224;A;0.33;A;240;A
01.03.2025 12:15;94.55;A;4213.73;A;4213.87;A;31.79;A;25.04;A;17.19;A;9.15;A;39.74;A;32;A;3.4;A;50.4;A;1025.25;A;25;A;0;A;7;A;103;A;0.67;A;273.33;A
01.03.2025 12:30;94.55;A;4213.8;A;4213.33;A;28.13;A;22.44;A;15.48;A;9.17;A;39.3;A;33;A;3.44;A;50.41;A;1025.18;A;25;A;0;A;8;A;74;A;0;A;86.67;A
01.03.2025 12:45;94.54;A;4213.73;A;4213.53;A;27.96;A;20.8;A;14.47;A;9.15;A;39.19;A;32;A;3.54;A;49.97;A;1025.16;A;25;A;0;A;7;A;63;A;0;A;336.67;A
01.03.2025 13:00;94.44;A;4193;A;4190.87;A;25.08;A;20.18;A;13.93;A;9.11;A;38.43;A;32;A;3.4;A;49.32;A;1024.95;A;26;A;0;A;7;A;64;A;0;A;86.67;A
01.03.2025 13:15;94.38;A;4211.6;A;4212.4;A;25.81;A;20.04;A;13.92;A;9.01;A;38.54;A;32;A;3.47;A;49.19;A;1024.84;A;26;A;0;A;6;A;65;A;0;A;236.67;A
01.03.2025 13:30;94.44;A;4212.6;A;4213.8;A;25.14;A;19.8;A;13.49;A;9;A;38.51;A;32;A;3.64;A;48.79;A;1024.81;A;26;A;0;A;7;A;67;A;0.33;A;206.67;A
01.03.2025 13:45;94.48;A;4212.87;A;4212.8;A;24.51;A;18.66;A;12.97;A;9.02;A;38.16;A;32;A;3.6;A;47.85;A;1024.71;A;27;A;0;A;6;A;63;A;0.33;A;153.33;A
01.03.2025 14:00;94.5;A;4212.8;A;4213.13;A;23.74;A;18.88;A;13.09;A;9.06;A;38.35;A;32;A;3.7;A;48.02;A;1024.64;A;27;A;0;A;6;A;65;A;0;A;86.67;A
01.03.2025 14:15;94.51;A;4212.93;A;4213.07;A;22.09;A;17.82;A;12.38;A;9.13;A;38.35;A;32;A;3.95;A;48.16;A;1024.6;A;27;A;0;A;5;A;69;A;0.33;A;203.33;A
01.03.2025 14:30;94.52;A;4206.33;A;4205.27;A;24.66;A;18.83;A;12.96;A;9.25;A;38.73;A;32;A;4.1;A;47.94;A;1024.6;A;27;A;0;A;5;A;68;A;0.33;A;140;A
01.03.2025 14:45;94.31;A;4189.6;A;4186.73;A;25.5;A;19.59;A;13.64;A;9.4;A;38.16;A;32;A;4.21;A;47.17;A;1024.67;A;26;A;0;A;6;A;77;A;0;A;110;A
01.03.2025 15:00;94.32;A;4211.07;A;4211.93;A;26.5;A;19.87;A;13.79;A;9.54;A;37.61;A;33;A;4.34;A;46.68;A;1024.47;A;26;A;0;A;7;A;88;A;0;A;173.33;A
01.03.2025 15:15;94.4;A;4212;A;4212.87;A;27.66;A;21.22;A;14.97;A;9.65;A;38.27;A;33;A;4.38;A;48.19;A;1024.27;A;25;A;0;A;7;A;123;A;0;A;100;A
01.03.2025 15:30;94.45;A;4212.8;A;4213.07;A;27.01;A;21.21;A;14.79;A;9.75;A;38.4;A;32;A;4.51;A;47.69;A;1024.08;A;26;A;0;A;6;A;78;A;0;A;130;A
01.03.2025 15:45;94.48;A;4212.87;A;4213.2;A;24.64;A;18.92;A;13.41;A;9.87;A;36.92;A;32;A;4.57;A;45.27;A;1023.98;A;26;A;0;A;6;A;81;A;0;A;166.67;A
01.03.2025 16:00;94.5;A;4212.87;A;4213.47;A;22.95;A;17.6;A;12.31;A;9.93;A;36.32;A;32;A;4.65;A;45.15;A;1023.96;A;25;A;0;A;7;A;81;A;0;A;90;A
01.03.2025 16:15;94.52;A;4212.93;A;4213.33;A;22.69;A;18.19;A;12.34;A;9.96;A;36.53;A;32;A;4.62;A;45.33;A;1023.86;A;26;A;0;A;6;A;84;A;0;A;126.67;A
01.03.2025 16:30;94.41;A;4197.27;A;4194.6;A;25.83;A;19.4;A;13.51;A;9.94;A;36.55;A;32;A;4.53;A;46.25;A;1023.87;A;24;A;0;A;8;A;107;A;0;A;173.33;A
01.03.2025 16:45;94.41;A;4211.93;A;4212.33;A;26.32;A;20.48;A;13.96;A;9.86;A;37.49;A;32;A;4.37;A;48.08;A;1023.8;A;24;A;0;A;8;A;140;A;0.33;A;96.67;A
01.03.2025 17:00;94.46;A;4212.73;A;4213.27;A;27.44;A;20.67;A;14.38;A;9.76;A;37.94;A;31;A;4.26;A;48.05;A;1023.96;A;24;A;0;A;7;A;153;A;0.33;A;86.67;A
01.03.2025 17:15;94.49;A;4212.87;A;4212.93;A;28.57;A;21.12;A;15.24;A;9.61;A;38.14;A;31;A;4.12;A;48.52;A;1024.11;A;22;A;0;A;9;A;248;A;0;A;120;A
01.03.2025 17:30;94.51;A;4213.13;A;4213.53;A;27.66;A;20.99;A;14.83;A;9.48;A;38.36;A;31;A;4.09;A;48.38;A;1024.12;A;20;A;0;A;11;A;196;A;0;A;160;A
01.03.2025 17:45;94.52;A;4213.33;A;4213.47;A;33.25;A;24.26;A;16.94;A;9.39;A;38.56;A;32;A;3.98;A;48.88;A;1024.12;A;18;A;0;A;14;A;198;A;0;A;256.67;A
01.03.2025 18:00;94.52;A;4206.33;A;4205.07;A;43.31;A;31.04;A;20.85;A;9.27;A;39.24;A;31;A;3.82;A;50.29;A;1024.05;A;14;A;0;A;17;A;226;A;0;A;220;A
01.03.2025 18:15;94.35;A;4199.13;A;4197.27;A;48.88;A;33.37;A;22.67;A;9.14;A;40.47;A;31;A;3.67;A;51.92;A;1024.18;A;14;A;0;A;17;A;199;A;0;A;70;A
01.03.2025 18:30;94.4;A;4211.87;A;4212.33;A;56.35;A;38.74;A;26.44;A;9;A;41.27;A;30;A;3.52;A;52.86;A;1024.17;A;12;A;0;A;18;A;233;A;0;A;213.33;A
01.03.2025 18:45;94.45;A;4212.67;A;4212.47;A;58.21;A;39.97;A;26.91;A;8.88;A;41.73;A;30;A;3.52;A;52.97;A;1024.18;A;9;A;0;A;21;A;255;A;0;A;100;A
01.03.2025 19:00;94.48;A;4212.8;A;4213.13;A;53.27;A;38.81;A;26.1;A;8.82;A;41.96;A;30;A;3.44;A;53.32;A;1024.03;A;10;A;0;A;20;A;263;A;0;A;200;A
01.03.2025 19:15;94.51;A;4212.87;A;4213.07;A;39.01;A;29.33;A;20.57;A;8.77;A;42.12;A;29;A;3.44;A;53.57;A;1023.91;A;16;A;0;A;13;A;424;A;0;A;193.33;A
01.03.2025 19:30;94.52;A;4213.47;A;4213.47;A;47.75;A;34.05;A;22.37;A;8.75;A;42.11;A;29;A;3.48;A;52.99;A;1023.93;A;19;A;1;A;10;A;1105;A;0;A;196.67;A
01.03.2025 19:45;94.53;A;4213.6;A;4213.07;A;31.68;A;23.68;A;16.56;A;8.75;A;41.87;A;29;A;3.4;A;52.98;A;1023.87;A;17;A;0;A;12;A;1506;A;0.33;A;196.67;A
01.03.2025 20:00;94.47;A;4194.07;A;4191.2;A;28.42;A;21.42;A;15.11;A;8.7;A;41.48;A;28;A;3.3;A;52.96;A;1023.74;A;18;A;0;A;10;A;242;A;0;A;70;A
01.03.2025 20:15;94.28;A;4201.6;A;4200.4;A;33.98;A;24.25;A;16.43;A;8.6;A;41.33;A;27;A;3.11;A;52.57;A;1023.58;A;17;A;0;A;10;A;144;A;0.33;A;136.67;A
01.03.2025 20:30;94.37;A;4211.73;A;4212.2;A;30.64;A;21.59;A;14.74;A;8.48;A;41.21;A;26;A;3.01;A;52.59;A;1023.67;A;17;A;0;A;9;A;138;A;0;A;343.33;A
01.03.2025 20:45;94.43;A;4212.47;A;4212.53;A;23.99;A;18.45;A;12.59;A;8.35;A;41.11;A;26;A;2.85;A;52.6;A;1023.66;A;18;A;0;A;8;A;96;A;0.33;A;246.67;A
01.03.2025 21:00;94.47;A;4212.73;A;4212.93;A;23.1;A;18.27;A;12;A;8.18;A;41.62;A;25;A;2.71;A;53.32;A;1023.66;A;18;A;0;A;7;A;94;A;0;A;120;A
01.03.2025 21:15;94.49;A;4212.87;A;4212.73;A;23.36;A;16.35;A;11.28;A;8.05;A;41.29;A;25;A;2.59;A;52.09;A;1023.74;A;18;A;0;A;7;A;95;A;0;A;123.33;A
01.03.2025 21:30;94.43;A;4193.13;A;4190;A;18.74;A;13.89;A;9.72;A;7.93;A;40.81;A;26;A;2.41;A;52.33;A;1023.78;A;18;A;0;A;8;A;88;A;0.33;A;116.67;A
01.03.2025 21:45;94.35;A;4211.4;A;4212;A;20.57;A;15.49;A;11.12;A;7.78;A;41.31;A;26;A;2.2;A;52.74;A;1023.79;A;20;A;0;A;6;A;92;A;0;A;63.33;A
01.03.2025 22:00;94.42;A;4212.4;A;4212.6;A;19.69;A;14.75;A;10.3;A;7.59;A;41.45;A;26;A;1.98;A;53.87;A;1023.71;A;20;A;0;A;6;A;86;A;0.33;A;86.67;A
01.03.2025 22:15;94.47;A;4212.67;A;4212.4;A;18.5;A;14.18;A;10.08;A;7.4;A;41.55;A;25;A;1.81;A;52.35;A;1023.58;A;20;A;0;A;5;A;87;A;0.33;A;126.67;A
01.03.2025 22:30;94.49;A;4212.8;A;4212.47;A;15.53;A;12.31;A;8.59;A;7.21;A;40.73;A;26;A;1.66;A;52.59;A;1023.47;A;20;A;0;A;5;A;77;A;0;A;103.33;A
01.03.2025 22:45;94.51;A;4213.47;A;4213.2;A;16.98;A;12.91;A;8.54;A;7.07;A;40.75;A;25;A;1.55;A;52.02;A;1023.37;A;20;A;0;A;5;A;80;A;0;A;93.33;A
01.03.2025 23:00;94.5;A;4206;A;4203.87;A;15.3;A;12.43;A;8.46;A;6.91;A;40.54;A;25;A;1.37;A;52.15;A;1023.25;A;20;A;0;A;5;A;85;A;0;A;130;A
01.03.2025 23:15;94.46;A;4212.93;A;4212.87;A;15.67;A;12.4;A;8.56;A;6.78;A;40.02;A;26;A;1.23;A;50.1;A;1023.18;A;21;A;0;A;4;A;82;A;0;A;126.67;A
01.03.2025 23:30;94.49;A;4213;A;4212.93;A;18.11;A;13.69;A;9.47;A;6.65;A;38.42;A;28;A;1.09;A;48.77;A;1023.39;A;21;A;0;A;7;A;79;A;0;A;233.33;A
01.03.2025 23:45;94.51;A;4213.47;A;4212.67;A;20.31;A;15.71;A;10.8;A;6.49;A;39.2;A;28;A;0.9;A;51.29;A;1023.23;A;21;A;0;A;7;A;84;A;0;A;256.67;A
02.03.2025 00:00;94.52;A;4213.67;A;4212.87;A;20.24;A;15.77;A;10.64;A;6.32;A;41.4;A;26;A;0.75;A;54.38;A;1023.26;A;19;A;0;A;7;A;89;A;0.33;A;136.67;A
02.03.2025 00:15;94.53;A;4213.8;A;4212.73;A;24.1;A;18.38;A;12.36;A;6.14;A;43.2;A;25;A;0.48;A;56.72;A;1023.27;A;20;A;0;A;5;A;80;A;0;A;86.67;A
02.03.2025 00:30;94.53;A;4213.8;A;4213.13;A;22.33;A;17.42;A;12.07;A;5.94;A;44.31;A;25;A;0.32;A;58.27;A;1023.33;A;20;A;0;A;5;A;84;A;0.33;A;196.67;A
02.03.2025 00:45;94.54;A;4213.8;A;4212.73;A;23.17;A;18.37;A;12.4;A;5.73;A;45.62;A;24;A;0.11;A;60.16;A;1023.34;A;19;A;0;A;5;A;83;A;0;A;93.33;A
02.03.2025 01:00;94.54;A;4213.87;A;4213.2;A;26.11;A;19.55;A;13.03;A;5.59;A;46.59;A;25;A;0.07;A;61.39;A;1023.33;A;21;A;0;A;5;A;76;A;0;A;133.33;A
02.03.2025 01:15;94.54;A;4213.8;A;4212.87;A;28.25;A;20.63;A;14.31;A;5.5;A;47.78;A;26;A;0.01;A;62.53;A;1023.3;A;21;A;0;A;5;A;78;A;0.33;A;203.33;A
02.03.2025 01:30;94.54;A;4214;A;4213.67;A;29.26;A;22.48;A;15.12;A;5.4;A;48.54;A;27;A;-0.1;A;63.72;A;1023.29;A;22;A;0;A;5;A;72;A;0;A;170;A
02.03.2025 01:45;94.54;A;4213.73;A;4212.53;A;28.71;A;22.59;A;15.37;A;5.32;A;49.76;A;27;A;-0.16;A;65.63;A;1023.26;A;23;A;0;A;4;A;69;A;0.33;A;210;A
02.03.2025 02:00;94.54;A;4210.27;A;4208.8;A;30.14;A;23.5;A;15.73;A;5.22;A;50.77;A;27;A;-0.25;A;67;A;1023.21;A;22;A;0;A;5;A;70;A;0;A;273.33;A
02.03.2025 02:15;94.4;A;4200.27;A;4197.6;A;32.87;A;24.64;A;16.82;A;5.13;A;51.64;A;27;A;-0.34;A;67.95;A;1023.07;A;21;A;0;A;7;A;70;A;0.33;A;256.67;A
02.03.2025 02:30;94.43;A;4212.73;A;4212.47;A;36.68;A;26.49;A;17.24;A;5.1;A;52.3;A;28;A;-0.37;A;68.67;A;1023;A;19;A;0;A;9;A;68;A;0.67;A;330;A
02.03.2025 02:45;94.47;A;4212.87;A;4212.67;A;38.17;A;27.25;A;17.91;A;5.03;A;52.75;A;28;A;-0.44;A;69.46;A;1022.9;A;19;A;0;A;9;A;71;A;0;A;333.33;A
02.03.2025 03:00;94.5;A;4213.2;A;4212.53;A;37.39;A;27.51;A;17.91;A;5;A;53.26;A;26;A;-0.46;A;70.05;A;1022.78;A;20;A;0;A;7;A;78;A;0.33;A;323.33;A
02.03.2025 03:15;94.51;A;4213.93;A;4212.93;A;33.24;A;25.68;A;17.67;A;4.94;A;53.61;A;25;A;-0.54;A;70.4;A;1022.65;A;19;A;0;A;6;A;82;A;0.33;A;266.67;A
02.03.2025 03:30;94.52;A;4213.87;A;4212.93;A;34.88;A;26.7;A;18.37;A;4.9;A;54.03;A;25;A;-0.52;A;70.93;A;1022.65;A;20;A;0;A;5;A;81;A;0.33;A;233.33;A
02.03.2025 03:45;94.53;A;4213.73;A;4212.73;A;35.84;A;27.45;A;18.98;A;4.89;A;54.17;A;25;A;-0.5;A;70.92;A;1022.66;A;20;A;0;A;5;A;77;A;0;A;166.67;A
02.03.2025 04:00;94.53;A;4212.2;A;4211;A;39.24;A;30.12;A;20.63;A;4.87;A;54.67;A;25;A;-0.51;A;71.53;A;1022.54;A;20;A;0;A;5;A;79;A;0;A;333.33;A
02.03.2025 04:15;94.41;A;4197.73;A;4194.87;A;40.91;A;31.02;A;20.45;A;4.88;A;54.8;A;26;A;-0.62;A;72.19;A;1022.52;A;20;A;0;A;6;A;78;A;0;A;166.67;A
02.03.2025 04:30;94.43;A;4212.53;A;4211.67;A;40.94;A;30.17;A;20.51;A;4.83;A;55.39;A;26;A;-0.63;A;73.32;A;1022.45;A;20;A;0;A;6;A;83;A;0;A;86.67;A
02.03.2025 04:45;94.47;A;4212.87;A;4212.67;A;40.11;A;29.43;A;20.42;A;4.8;A;56.12;A;25;A;-0.59;A;73.52;A;1022.42;A;20;A;0;A;5;A;81;A;0;A;56.67;A
02.03.2025 05:00;94.49;A;4213.27;A;4212.47;A;44;A;31.97;A;21.22;A;4.8;A;56.54;A;25;A;-0.6;A;74.26;A;1022.25;A;20;A;0;A;6;A;90;A;0.33;A;106.67;A
02.03.2025 05:15;94.51;A;4213.87;A;4213.2;A;45.27;A;33.43;A;22.22;A;4.81;A;57.56;A;26;A;-0.64;A;76.45;A;1022.07;A;19;A;0;A;7;A;91;A;0.67;A;106.67;A
02.03.2025 05:30;94.52;A;4213.87;A;4213;A;47.59;A;35.02;A;23.64;A;4.77;A;59.33;A;26;A;-0.7;A;78.95;A;1022.07;A;18;A;0;A;8;A;96;A;0;A;256.67;A
02.03.2025 05:45;94.53;A;4213.87;A;4213.27;A;40.87;A;28.28;A;24.91;A;5;A;60.14;A;25;A;-0.8;A;80.85;A;1022.06;A;17;A;0;A;8;A;108;A;0;A;196.67;A
02.03.2025 06:00;94.53;A;4213.73;A;4212.6;A;43.31;A;29.95;A;26.38;A;5.2;A;59.99;A;25;A;-0.82;A;82.03;A;1022;A;17;A;0;A;7;A;103;A;0;A;143.33;A
02.03.2025 06:15;94.53;A;4213.87;A;4212.6;A;45.88;A;31.72;A;27.94;A;5.38;A;60.04;A;24;A;-0.89;A;83.25;A;1021.82;A;16;A;0;A;8;A;117;A;0;A;260;A
