"timestamp";"PM10~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM2.5~D590-QM[Cairnet CXM24280939]";"in µg/m3";"PM1~D590-QM[Cairnet CXM24280939]";"in µg/m3";"TC~D590-QM[Cairnet CXM24280939]";"in °C";"HR~D590-QM[Cairnet CXM24280939]";"in %";"BC~0939-QM[Cairnet CXM24280939]";"in %";"Uout~0939-QM[Cairnet CXM24280939]";"in mV";"Uin~0939-QM[Cairnet CXM24280939]";"in mV";"TC~T-QM[Cairnet CXM24280939]";"in °C";"HR~T-QM[Cairnet CXM24280939]";"in %";"PA~T-QM[Cairnet CXM24280939]";"in hPa";"CO~4673-QM[Cairnet CXM24280939]";"in ppb";"O3-NO2~4696-QM[Cairnet CXM24280939]";"in ppb";"NO2~4582-QM[Cairnet CXM24280939]";"in ppb";"SO2~4714-QM[Cairnet CXM24280939]";"in ppb";"O3~0939-QM[Cairnet CXM24280939]";"in ppb"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-01-01 00:15";20.15;"A";18.22;"A";13.63;"A";8.94;"A";54.31;"A";;"N";;"N";;"N";3.05;"A";79.44;"A";1012.82;"A";138;"A";16;"A";7;"A";3;"A";10;"A"
"2025-01-01 00:30";20.56;"A";18.17;"A";13.58;"A";8.79;"A";54.6;"A";;"N";;"N";;"N";2.96;"A";79.8;"A";1012.84;"A";139;"A";;"N";7;"A";3;"A";;"N"
"2025-01-01 00:45";20.71;"A";18.41;"A";13.47;"A";8.6;"A";54.99;"A";;"N";;"N";;"N";2.81;"A";80.2;"A";1012.83;"A";134;"A";16;"A";7;"A";3;"A";10;"A"
"2025-01-01 01:00";19.59;"A";17.72;"A";13.52;"A";8.45;"A";55.3;"A";;"N";;"N";;"N";2.63;"A";80.85;"A";1012.92;"A";137;"A";16;"A";6;"A";3;"A";9;"A"
"2025-01-01 01:15";21.59;"A";19.11;"A";13.78;"A";8.26;"A";55.68;"A";;"N";;"N";;"N";2.5;"A";81.35;"A";1012.88;"A";137;"A";16;"A";6;"A";4;"A";10;"A"
"2025-01-01 01:30";20.16;"A";18.21;"A";14.06;"A";8.08;"A";56.27;"A";;"N";;"N";;"N";2.44;"A";81.59;"A";1012.8;"A";133;"A";16;"A";6;"A";3;"A";9;"A"
"2025-01-01 01:45";20.89;"A";18.95;"A";13.84;"A";7.98;"A";57.05;"A";;"N";;"N";;"N";2.43;"A";81.9;"A";1012.88;"A";136;"A";15;"A";6;"A";3;"A";9;"A"
"2025-01-01 02:00";21.81;"A";18.82;"A";14.26;"A";7.94;"A";57.2;"A";;"N";;"N";;"N";2.36;"A";81.97;"A";1012.95;"A";139;"A";15;"A";6;"A";3;"A";10;"A"
"2025-01-01 02:15";20.82;"A";18.17;"A";13.27;"A";7.9;"A";57.08;"A";;"N";;"N";;"N";2.35;"A";82.21;"A";1012.96;"A";135;"A";15;"A";6;"A";4;"A";10;"A"
"2025-01-01 02:30";19.71;"A";17.44;"A";13.29;"A";7.87;"A";57.13;"A";;"N";;"N";;"N";2.31;"A";82.36;"A";1013.01;"A";136;"A";15;"A";6;"A";3;"A";9;"A"
"2025-01-01 02:45";19.1;"A";17.59;"A";13.04;"A";7.79;"A";57.41;"A";;"N";;"N";;"N";2.36;"A";82.38;"A";1013.05;"A";131;"A";15;"A";6;"A";4;"A";10;"A"
"2025-01-01 03:00";19.65;"A";17.6;"A";13.25;"A";7.72;"A";57.72;"A";;"N";;"N";;"N";2.37;"A";82.13;"A";1012.96;"A";137;"A";16;"A";6;"A";3;"A";10;"A"
"2025-01-01 03:15";20.83;"A";17.92;"A";13.5;"A";7.69;"A";57.76;"A";;"N";;"N";;"N";2.35;"A";82.51;"A";1012.94;"A";145;"A";15;"A";6;"A";4;"A";9;"A"
"2025-01-01 03:30";19.95;"A";17.59;"A";13.32;"A";7.65;"A";58.06;"A";;"N";;"N";;"N";2.3;"A";82.47;"A";1013.07;"A";144;"A";16;"A";6;"A";4;"A";10;"A"
"2025-01-01 03:45";18.63;"A";16.57;"A";12.69;"A";7.61;"A";57.95;"A";;"N";;"N";;"N";2.26;"A";82.78;"A";1013.09;"A";126;"A";16;"A";6;"A";3;"A";10;"A"
"2025-01-01 04:00";18.36;"A";16.77;"A";12.52;"A";7.57;"A";58.32;"A";;"N";;"N";;"N";2.3;"A";82.75;"A";1013.25;"A";134;"A";15;"A";6;"A";3;"A";10;"A"
"2025-01-01 04:15";18.86;"A";16.47;"A";12.27;"A";7.54;"A";58.29;"A";;"N";;"N";;"N";2.22;"A";82.86;"A";1013.29;"A";149;"A";16;"A";6;"A";4;"A";10;"A"
"2025-01-01 04:30";18.71;"A";16.37;"A";12.66;"A";7.51;"A";58.32;"A";;"N";;"N";;"N";2.07;"A";83.17;"A";1013.44;"A";145;"A";16;"A";7;"A";4;"A";9;"A"
"2025-01-01 04:45";20.88;"A";18.49;"A";13.35;"A";7.45;"A";58.12;"A";;"N";;"N";;"N";1.89;"A";83.31;"A";1013.63;"A";140;"A";15;"A";7;"A";3;"A";8;"A"
"2025-01-01 05:00";20.27;"A";17.97;"A";13.39;"A";7.32;"A";58.02;"A";;"N";;"N";;"N";1.67;"A";83.96;"A";1013.65;"A";132;"A";15;"A";7;"A";4;"A";8;"A"
"2025-01-01 05:15";21.64;"A";19.84;"A";14.98;"A";7.18;"A";58.16;"A";;"N";;"N";;"N";1.52;"A";84.34;"A";1013.67;"A";136;"A";14;"A";6;"A";4;"A";8;"A"
"2025-01-01 05:30";21.02;"A";18.65;"A";13.75;"A";7.04;"A";58.37;"A";;"N";;"N";;"N";1.43;"A";84.74;"A";1013.74;"A";142;"A";14;"A";6;"A";4;"A";8;"A"
"2025-01-01 05:45";20.58;"A";18.6;"A";13.54;"A";6.91;"A";59.09;"A";;"N";;"N";;"N";1.41;"A";85.03;"A";1013.79;"A";147;"A";14;"A";7;"A";4;"A";7;"A"
"2025-01-01 06:00";20.86;"A";18.7;"A";14.34;"A";6.84;"A";59.2;"A";;"N";;"N";;"N";1.3;"A";85.21;"A";1013.89;"A";135;"A";14;"A";7;"A";4;"A";7;"A"
"2025-01-01 06:15";21.56;"A";19.27;"A";14.27;"A";6.75;"A";59.37;"A";;"N";;"N";;"N";1.17;"A";85.65;"A";1013.92;"A";135;"A";13;"A";7;"A";4;"A";6;"A"
"2025-01-01 06:30";22.15;"A";19.81;"A";14.44;"A";6.65;"A";59.58;"A";;"N";;"N";;"N";1.18;"A";85.8;"A";1013.97;"A";143;"A";14;"A";7;"A";4;"A";7;"A"
"2025-01-01 06:45";22.33;"A";17.47;"A";14.24;"A";6.62;"A";59.97;"A";;"N";;"N";;"N";1.21;"A";85.63;"A";1014.09;"A";147;"A";15;"A";;"N";4;"A";;"N"
"2025-01-01 07:00";21.64;"A";19.01;"A";14.27;"A";6.64;"A";59.86;"A";;"N";;"N";;"N";1.17;"A";85.71;"A";1014.02;"A";135;"A";14;"A";;"N";4;"A";;"N"
"2025-01-01 07:15";21.15;"A";18.37;"A";14.13;"A";6.54;"A";59.94;"A";;"N";;"N";;"N";1.06;"A";85.69;"A";1013.93;"A";139;"A";14;"A";;"N";4;"A";;"N"
"2025-01-01 07:30";22.26;"A";17.99;"A";14.94;"A";6.59;"A";59.91;"A";;"N";;"N";;"N";1.18;"A";85.19;"A";1013.94;"A";144;"A";14;"A";8;"A";4;"A";6;"A"
"2025-01-01 07:45";23.53;"A";20.49;"A";15.46;"A";6.47;"A";59.88;"A";;"N";;"N";;"N";0.96;"A";85.66;"A";1014.07;"A";234;"A";16;"A";13;"A";3;"A";3;"A"
"2025-01-01 08:00";25.34;"A";19.75;"A";16.55;"A";6.44;"A";59.97;"A";;"N";;"N";;"N";0.89;"A";86.09;"A";1014.05;"A";214;"A";15;"A";12;"A";4;"A";2;"A"
"2025-01-01 08:15";31.48;"A";24.71;"A";20.65;"A";6.39;"A";60.02;"A";;"N";;"N";;"N";0.75;"A";86.48;"A";1014.06;"A";382;"A";18;"A";18;"A";3;"A";0;"A"
"2025-01-01 08:30";32.62;"A";24.63;"A";21.2;"A";6.5;"A";60.02;"A";;"N";;"N";;"N";1.05;"A";86.38;"A";1014.2;"A";399;"A";18;"A";19;"A";3;"A";0;"A"
"2025-01-01 08:45";27.6;"A";20.39;"A";17.82;"A";6.76;"A";60.03;"A";;"N";;"N";;"N";1.56;"A";84.55;"A";1014.4;"A";229;"A";18;"A";15;"A";3;"A";2;"A"
"2025-01-01 09:00";29.61;"A";21.88;"A";19.13;"A";6.99;"A";59.9;"A";;"N";;"N";;"N";1.88;"A";83.22;"A";1014.55;"A";244;"A";19;"A";16;"A";3;"A";3;"A"
"2025-01-01 09:15";24.11;"A";19.25;"A";15.98;"A";6.97;"A";59.9;"A";;"N";;"N";;"N";2.15;"A";81.79;"A";1014.59;"A";200;"A";17;"A";13;"A";4;"A";4;"A"
"2025-01-01 09:30";23.87;"A";18.96;"A";15.7;"A";7.13;"A";59.95;"A";;"N";;"N";;"N";2.4;"A";80.95;"A";1014.52;"A";174;"A";18;"A";14;"A";3;"A";4;"A"
"2025-01-01 09:45";25.37;"A";22.38;"A";16.09;"A";7.36;"A";59.47;"A";;"N";;"N";;"N";2.65;"A";79.73;"A";1014.15;"A";160;"A";18;"A";12;"A";3;"A";6;"A"
"2025-01-01 10:00";24.23;"A";20.39;"A";15.26;"A";7.65;"A";58.85;"A";;"N";;"N";;"N";3;"A";78.42;"A";1013.98;"A";157;"A";18;"A";11;"A";3;"A";7;"A"
"2025-01-01 10:15";22.25;"A";19.88;"A";14.47;"A";8.06;"A";58.24;"A";;"N";;"N";;"N";3.56;"A";76.26;"A";1013.95;"A";157;"A";18;"A";10;"A";3;"A";8;"A"
"2025-01-01 10:30";23.09;"A";19.26;"A";14.16;"A";8.57;"A";57.52;"A";;"N";;"N";;"N";4.22;"A";74.1;"A";1013.77;"A";178;"A";19;"A";10;"A";3;"A";9;"A"
"2025-01-01 10:45";75.77;"A";61.42;"A";42.16;"A";9.23;"A";56.15;"A";;"N";;"N";;"N";4.86;"A";72.31;"A";1013.57;"A";554;"A";20;"A";12;"A";3;"A";8;"A"
"2025-01-01 11:00";43;"A";35.66;"A";25.89;"A";9.95;"A";55.29;"A";;"N";;"N";;"N";5.75;"A";70.22;"A";1013.42;"A";850;"A";21;"A";14;"A";3;"A";8;"A"
"2025-01-01 11:15";29.75;"A";25.15;"A";17.66;"A";10.99;"A";54.29;"A";;"N";;"N";;"N";6.75;"A";66.27;"A";1013.04;"A";455;"A";21;"A";13;"A";3;"A";8;"A"
"2025-01-01 11:30";45.36;"A";37.51;"A";26.75;"A";12.48;"A";50.48;"A";;"N";;"N";;"N";7.8;"A";63.01;"A";1012.73;"A";577;"A";22;"A";13;"A";3;"A";8;"A"
"2025-01-01 11:45";21.96;"A";17.22;"A";13.07;"A";13.78;"A";47.7;"A";;"N";;"N";;"N";8.5;"A";60.98;"A";1012.51;"A";532;"A";25;"A";15;"A";3;"A";10;"A"
"2025-01-01 12:00";19.39;"A";15.98;"A";11.7;"A";14.86;"A";44.94;"A";;"N";;"N";;"N";8.95;"A";60.3;"A";1012.08;"A";428;"A";25;"A";13;"A";3;"A";12;"A"
"2025-01-01 12:15";19.77;"A";15.85;"A";12.23;"A";15.46;"A";42.88;"A";;"N";;"N";;"N";8.96;"A";60.24;"A";1011.87;"A";724;"A";26;"A";15;"A";4;"A";11;"A"
"2025-01-01 12:30";26.01;"A";21.82;"A";16.15;"A";15.46;"A";42.59;"A";;"N";;"N";;"N";9.09;"A";59.71;"A";1011.76;"A";857;"A";26;"A";14;"A";4;"A";11;"A"
"2025-01-01 12:45";33.57;"A";27.76;"A";19.79;"A";15.5;"A";43.07;"A";;"N";;"N";;"N";9.71;"A";57.98;"A";1011.57;"A";516;"A";25;"A";12;"A";3;"A";13;"A"
"2025-01-01 13:00";33.98;"A";27.36;"A";19.81;"A";15.9;"A";42.15;"A";;"N";;"N";;"N";10.22;"A";55.37;"A";1011.25;"A";1449;"A";26;"A";12;"A";6;"A";14;"A"
"2025-01-01 13:15";21.71;"A";17.63;"A";12.7;"A";16.32;"A";40.7;"A";;"N";;"N";;"N";10.53;"A";53.22;"A";1011.08;"A";619;"A";27;"A";12;"A";4;"A";15;"A"
"2025-01-01 13:30";13.05;"A";9.61;"A";6.99;"A";16.56;"A";39.29;"A";;"N";;"N";;"N";10.7;"A";51.48;"A";1010.82;"A";167;"A";27;"A";9;"A";1;"A";18;"A"
"2025-01-01 13:45";11.62;"A";9.09;"A";6.41;"A";16.72;"A";38.75;"A";;"N";;"N";;"N";10.92;"A";50.95;"A";1010.73;"A";149;"A";28;"A";9;"A";2;"A";19;"A"
"2025-01-01 14:00";10.93;"A";8.62;"A";6.18;"A";16.94;"A";38.79;"A";;"N";;"N";;"N";10.97;"A";51.05;"A";1010.47;"A";155;"A";26;"A";8;"A";2;"A";18;"A"
"2025-01-01 14:15";11.93;"A";8.58;"A";6.6;"A";16.92;"A";38.47;"A";;"N";;"N";;"N";10.75;"A";51.71;"A";1010.18;"A";151;"A";27;"A";8;"A";1;"A";19;"A"
"2025-01-01 14:30";10.24;"A";8.35;"A";6.09;"A";16.86;"A";38.75;"A";;"N";;"N";;"N";10.68;"A";52.23;"A";1010;"A";163;"A";27;"A";9;"A";1;"A";18;"A"
"2025-01-01 14:45";9.03;"A";7.2;"A";5.4;"A";16.57;"A";39.01;"A";;"N";;"N";;"N";10.61;"A";52.45;"A";1009.82;"A";142;"A";27;"A";9;"A";1;"A";19;"A"
"2025-01-01 15:00";8.56;"A";6.6;"A";5.18;"A";16.32;"A";39.61;"A";;"N";;"N";;"N";10.45;"A";53.26;"A";1009.95;"A";140;"A";27;"A";8;"A";1;"A";19;"A"
"2025-01-01 15:15";8.28;"A";6.76;"A";5.23;"A";16.03;"A";40.21;"A";;"N";;"N";;"N";10.33;"A";53.6;"A";1009.58;"A";130;"A";28;"A";8;"A";1;"A";20;"A"
"2025-01-01 15:30";8.03;"A";6.48;"A";5.06;"A";15.79;"A";41.06;"A";;"N";;"N";;"N";10;"A";55.35;"A";1009.55;"A";131;"A";28;"A";9;"A";1;"A";19;"A"
"2025-01-01 15:45";8.18;"A";6.4;"A";4.9;"A";15.56;"A";41.95;"A";;"N";;"N";;"N";9.69;"A";57.39;"A";1009.44;"A";133;"A";27;"A";9;"A";1;"A";18;"A"
"2025-01-01 16:00";7.12;"A";5.39;"A";4.07;"A";15.26;"A";43.03;"A";;"N";;"N";;"N";9.36;"A";59.16;"A";1009.43;"A";115;"A";27;"A";8;"A";1;"A";19;"A"
"2025-01-01 16:15";6.67;"A";5.03;"A";3.78;"A";14.89;"A";43.96;"A";;"N";;"N";;"N";8.87;"A";61.56;"A";1009.57;"A";105;"A";26;"A";8;"A";1;"A";18;"A"
"2025-01-01 16:30";7.27;"A";5.97;"A";4.5;"A";14.46;"A";45.69;"A";;"N";;"N";;"N";8.31;"A";65.52;"A";1009.45;"A";106;"A";26;"A";9;"A";1;"A";17;"A"
"2025-01-01 16:45";9.25;"A";8.26;"A";6.38;"A";14.01;"A";48.28;"A";;"N";;"N";;"N";7.74;"A";70.99;"A";1009.51;"A";123;"A";24;"A";9;"A";1;"A";16;"A"
