Час вимірювання (локальний час CairCloud);Чорний вуглець, %;"QC (чорний вуглець)
";"Вихідна напруга (Uвих), мВ
";QC (вихідна напруга);Вхідна напруга (Uвх), мВ;QC (вхідна напруга);"Масова концентрація частинок PM??, мкг/м?
";"QC (PM??)
";"Масова концентрація частинок PM???, мкг/м?
";"QC (PM???)
";"Масова концентрація частинок PM?, мкг/м?
";"QC (PM?)
";"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %
";"QC (відносна вологість)
";"Оксиди озону та азоту (O?–NO?), ppb
";QC (O?–NO?);"Температура повітря, °C
";"QC (температура повітря)
";"Відносна вологість повітря, %


";"QC (відносна вологість)
";Атмосферний тиск, гПа;"QC (атмосферний тиск)
";"Озон (O?), ppb
";"QC (озон)
";"Діоксид сірки (SO?), ppb
";"QC (діоксид сірки)
";"Діоксид азоту (NO?), ppb
";"QC (діоксид азоту)
";"Оксид вуглецю (CO), ppb
";"QC (оксид вуглецю)
";"Швидкість вітру, м/с
";"QC (швидкість вітру)
";"Напрямок вітру, градуси
";QC (напрямок вітру)
(in display TZ);value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc;value;qc
01.02.2025 00:15;96.03;A;4212.8;A;4213.33;A;88;A;60.61;A;53.38;A;17.51;A;59.98;A;14;A;9.45;A;89.85;A;1019.9;A;4;A;5;A;10;A;257;A;0;A;190;A
01.02.2025 00:30;96.03;A;4213;A;4214;A;93.38;A;64.31;A;56.64;A;17.51;A;60;A;16;A;9.51;A;89.56;A;1019.88;A;3;A;5;A;12;A;276;A;0;A;220;A
01.02.2025 00:45;96.03;A;4212.87;A;4213.2;A;97.62;A;67.21;A;59.19;A;17.53;A;59.98;A;16;A;9.53;A;89.54;A;1019.91;A;2;A;5;A;14;A;291;A;0;A;226.67;A
01.02.2025 01:00;96.03;A;4212.73;A;4213.6;A;97.05;A;66.82;A;58.85;A;17.52;A;60.01;A;16;A;9.55;A;89.42;A;1019.91;A;2;A;5;A;14;A;304;A;0;A;226.67;A
01.02.2025 01:15;96.03;A;4212.8;A;4213.27;A;94.15;A;64.84;A;57.1;A;17.52;A;59.99;A;15;A;9.51;A;89.58;A;1020.03;A;2;A;5;A;14;A;310;A;0;A;183.33;A
01.02.2025 01:30;96.03;A;4212.87;A;4213.67;A;90.28;A;62.18;A;54.76;A;17.46;A;60;A;14;A;9.45;A;89.54;A;1019.87;A;1;A;6;A;13;A;288;A;0;A;163.33;A
01.02.2025 01:45;96.03;A;4212.87;A;4213.27;A;85.07;A;58.61;A;51.62;A;17.45;A;60;A;14;A;9.5;A;89.41;A;1019.84;A;2;A;6;A;12;A;272;A;0;A;140;A
01.02.2025 02:00;96.03;A;4212.87;A;4213.53;A;79.11;A;54.52;A;48.01;A;17.44;A;59.98;A;14;A;9.56;A;88.99;A;1019.87;A;3;A;5;A;11;A;255;A;0.33;A;160;A
01.02.2025 02:15;96.03;A;4212.87;A;4213.33;A;74.91;A;51.63;A;45.47;A;17.39;A;59.97;A;15;A;9.54;A;88.77;A;1019.78;A;4;A;5;A;12;A;233;A;0.33;A;140;A
01.02.2025 02:30;96.03;A;4212.93;A;4213.73;A;74.66;A;51.46;A;45.32;A;17.33;A;59.99;A;15;A;9.56;A;88.56;A;1019.78;A;3;A;5;A;11;A;232;A;0;A;176.67;A
01.02.2025 02:45;96.03;A;4212.87;A;4213.6;A;74.56;A;51.4;A;45.27;A;17.2;A;59.93;A;16;A;9.63;A;87.48;A;1019.7;A;4;A;4;A;12;A;224;A;0;A;166.67;A
01.02.2025 03:00;96.02;A;4212.8;A;4213.27;A;71.92;A;49.58;A;43.67;A;17.11;A;60.02;A;16;A;9.6;A;87.39;A;1019.65;A;5;A;5;A;11;A;222;A;0.67;A;140;A
01.02.2025 03:15;96.02;A;4212.87;A;4213.73;A;67.71;A;46.7;A;41.13;A;17.02;A;59.9;A;17;A;9.62;A;86.58;A;1019.5;A;5;A;5;A;12;A;204;A;0;A;200;A
01.02.2025 03:30;96.02;A;4212.8;A;4213.2;A;64.91;A;44.78;A;39.44;A;17.01;A;59.99;A;15;A;9.59;A;86.78;A;1019.5;A;5;A;4;A;10;A;198;A;0.33;A;140;A
01.02.2025 03:45;96.02;A;4212.87;A;4213.53;A;63.38;A;43.73;A;38.51;A;16.93;A;60.06;A;15;A;9.59;A;86.85;A;1019.34;A;6;A;5;A;9;A;206;A;0;A;146.67;A
01.02.2025 04:00;96.02;A;4212.87;A;4213.73;A;64.24;A;44.31;A;39.03;A;17.04;A;59.94;A;15;A;9.57;A;86.84;A;1019.3;A;4;A;4;A;10;A;196;A;0;A;146.67;A
01.02.2025 04:15;96.02;A;4212.8;A;4213.2;A;64.17;A;44.27;A;38.99;A;17.01;A;60.06;A;14;A;9.51;A;87.39;A;1019.17;A;3;A;4;A;11;A;199;A;0.33;A;140;A
01.02.2025 04:30;96.02;A;4212.93;A;4213.73;A;64.25;A;44.32;A;39.03;A;16.99;A;59.96;A;14;A;9.53;A;87.02;A;1019.16;A;3;A;5;A;12;A;197;A;0.33;A;180;A
01.02.2025 04:45;96.02;A;4212.93;A;4213.73;A;64.43;A;44.45;A;39.15;A;17.01;A;60;A;15;A;9.49;A;87.58;A;1019.09;A;2;A;4;A;12;A;196;A;0;A;283.33;A
01.02.2025 05:00;96.02;A;4212.73;A;4213.33;A;65.06;A;44.88;A;39.52;A;17.07;A;60.01;A;16;A;9.47;A;87.89;A;1019.01;A;4;A;4;A;12;A;228;A;0.33;A;310;A
01.02.2025 05:15;96.02;A;4212.87;A;4213.27;A;61.77;A;42.62;A;37.54;A;17.07;A;60.03;A;15;A;9.44;A;87.92;A;1018.97;A;5;A;5;A;10;A;210;A;0.33;A;326.67;A
01.02.2025 05:30;96.02;A;4212.8;A;4213.53;A;62.55;A;43.16;A;38.01;A;17.17;A;60;A;16;A;9.41;A;88.52;A;1018.84;A;3;A;4;A;13;A;199;A;0;A;246.67;A
01.02.2025 05:45;96.02;A;4212.73;A;4213;A;62.08;A;42.84;A;37.73;A;17.25;A;60.01;A;15;A;9.39;A;88.88;A;1018.86;A;2;A;4;A;13;A;181;A;0;A;196.67;A
01.02.2025 06:00;96;A;4211;A;4210.93;A;61.52;A;42.45;A;37.39;A;17.28;A;60.06;A;20;A;9.38;A;89.46;A;1018.89;A;0;A;3;A;20;A;165;A;0;A;313.33;A
01.02.2025 06:15;96;A;4212.73;A;4213.07;A;59.71;A;41.21;A;36.29;A;17.5;A;60.03;A;18;A;9.29;A;90.53;A;1018.85;A;0;A;3;A;19;A;152;A;0.33;A;250;A
01.02.2025 06:30;96.01;A;4213;A;4213.6;A;61.25;A;42.26;A;37.22;A;17.64;A;60.03;A;18;A;9.26;A;91.48;A;1018.93;A;0;A;3;A;20;A;181;A;0;A;316.67;A
01.02.2025 06:45;96.01;A;4212.8;A;4213.47;A;62.65;A;43.23;A;38.07;A;17.74;A;60.02;A;19;A;9.2;A;92.21;A;1018.93;A;0;A;2;A;21;A;184;A;0;A;313.33;A
01.02.2025 07:00;96.01;A;4212.73;A;4213.6;A;62.84;A;43.35;A;38.18;A;17.75;A;59.99;A;19;A;9.12;A;92.78;A;1018.98;A;0;A;3;A;21;A;198;A;0.33;A;323.33;A
01.02.2025 07:15;96.01;A;4212.87;A;4213.33;A;62.16;A;42.89;A;37.77;A;17.81;A;60.01;A;19;A;9.03;A;93.13;A;1018.9;A;0;A;3;A;21;A;193;A;0;A;240;A
01.02.2025 07:30;96.01;A;4212.73;A;4213.2;A;56.41;A;38.95;A;34.3;A;17.78;A;59.99;A;18;A;9;A;93.24;A;1018.74;A;0;A;3;A;19;A;195;A;0;A;193.33;A
01.02.2025 07:45;96.01;A;4212.8;A;4213.53;A;49.02;A;33.87;A;29.83;A;17.71;A;60.06;A;18;A;8.98;A;93.31;A;1018.87;A;0;A;3;A;19;A;207;A;0;A;66.67;A
01.02.2025 08:00;96.01;A;4212.73;A;4212.93;A;40.38;A;27.95;A;24.62;A;17.72;A;59.93;A;16;A;8.98;A;92.97;A;1018.87;A;2;A;4;A;14;A;197;A;0;A;150;A
01.02.2025 08:15;96.01;A;4212.8;A;4213.33;A;32.19;A;22.33;A;19.66;A;17.61;A;59.99;A;17;A;8.87;A;93.36;A;1018.85;A;2;A;3;A;15;A;182;A;0.33;A;253.33;A
01.02.2025 08:30;96.01;A;4213;A;4213.93;A;30.47;A;21.15;A;18.63;A;17.59;A;59.96;A;18;A;8.83;A;93.36;A;1019.06;A;1;A;3;A;18;A;190;A;0;A;256.67;A
01.02.2025 08:45;96.01;A;4212.8;A;4213.33;A;28.86;A;20.05;A;17.66;A;17.51;A;60.05;A;20;A;8.78;A;93.33;A;1019.04;A;0;A;2;A;21;A;175;A;0.33;A;260;A
01.02.2025 09:00;96;A;4212.87;A;4213.2;A;30.41;A;21.1;A;18.59;A;17.39;A;59.93;A;21;A;8.69;A;93.02;A;1019.18;A;0;A;2;A;21;A;161;A;0;A;250;A
01.02.2025 09:15;96;A;4212.8;A;4213.2;A;36.5;A;25.28;A;22.27;A;17.24;A;60.07;A;19;A;8.62;A;93.2;A;1019.23;A;1;A;2;A;18;A;163;A;0.33;A;326.67;A
01.02.2025 09:30;96;A;4212.67;A;4212.87;A;37.88;A;26.23;A;23.1;A;17.29;A;59.95;A;19;A;8.61;A;93.6;A;1018.88;A;1;A;3;A;18;A;184;A;0;A;223.33;A
01.02.2025 09:45;96;A;4212.6;A;4213.07;A;38.77;A;26.84;A;23.64;A;17.21;A;59.97;A;21;A;8.48;A;93.29;A;1019.19;A;1;A;2;A;21;A;187;A;0;A;66.67;A
01.02.2025 10:00;96;A;4212.8;A;4212.73;A;40.57;A;28.08;A;24.73;A;17.04;A;60.06;A;18;A;8.5;A;93.16;A;1019.1;A;0;A;3;A;19;A;190;A;0.67;A;333.33;A
01.02.2025 10:15;96;A;4212.93;A;4213.33;A;47.78;A;33.02;A;29.09;A;17.06;A;60;A;18;A;8.52;A;93.06;A;1019.15;A;0;A;3;A;18;A;215;A;0;A;333.33;A
01.02.2025 10:30;96;A;4212.87;A;4213.27;A;52.2;A;36.06;A;31.75;A;17.07;A;59.93;A;17;A;8.51;A;92.97;A;1019.3;A;0;A;3;A;18;A;177;A;0.33;A;333.33;A
01.02.2025 10:45;96;A;4212.87;A;4213.07;A;57.58;A;39.74;A;35;A;16.97;A;60.01;A;17;A;8.46;A;92.82;A;1019.33;A;0;A;3;A;17;A;173;A;0.33;A;313.33;A
01.02.2025 11:00;95.99;A;4212.73;A;4212.93;A;62.1;A;42.84;A;37.73;A;17.05;A;60.03;A;17;A;8.54;A;93.06;A;1019.34;A;0;A;3;A;17;A;192;A;0;A;330;A
01.02.2025 11:15;95.99;A;4212.87;A;4212.93;A;64.67;A;44.61;A;39.29;A;17.2;A;60.05;A;17;A;8.64;A;93.17;A;1019.2;A;0;A;3;A;17;A;197;A;0;A;326.67;A
01.02.2025 11:30;95.99;A;4212.6;A;4213.13;A;65.55;A;45.22;A;39.82;A;17.44;A;60;A;18;A;8.8;A;93.63;A;1019.01;A;1;A;3;A;17;A;201;A;0;A;256.67;A
01.02.2025 11:45;95.99;A;4212.87;A;4212.93;A;51.22;A;35.38;A;31.16;A;17.66;A;59.94;A;17;A;9.02;A;92.7;A;1019.03;A;4;A;4;A;13;A;263;A;0.33;A;333.33;A
01.02.2025 12:00;95.99;A;4212.8;A;4213.47;A;22.1;A;15.41;A;13.57;A;17.33;A;59.91;A;15;A;8.99;A;91.27;A;1019.08;A;9;A;6;A;7;A;375;A;0.67;A;230;A
01.02.2025 12:15;95.99;A;4212.87;A;4213.67;A;7.58;A;5.45;A;4.8;A;17.03;A;60.05;A;15;A;8.92;A;90.34;A;1018.98;A;8;A;6;A;7;A;359;A;0.67;A;343.33;A
01.02.2025 12:30;95.99;A;4213;A;4213.8;A;8.74;A;6.24;A;5.5;A;17.16;A;59.89;A;15;A;8.98;A;90.81;A;1018.81;A;7;A;6;A;7;A;335;A;0;A;133.33;A
01.02.2025 12:45;95.99;A;4212.73;A;4213.13;A;9.8;A;6.97;A;6.14;A;17.13;A;60.03;A;14;A;9.17;A;89.34;A;1018.62;A;8;A;4;A;6;A;240;A;0;A;276.67;A
01.02.2025 13:00;95.99;A;4212.8;A;4213;A;6.85;A;4.94;A;4.36;A;17;A;60.1;A;15;A;9.29;A;88.91;A;1018.49;A;9;A;4;A;6;A;242;A;0;A;256.67;A
01.02.2025 13:15;95.99;A;4212.8;A;4213.4;A;6.61;A;4.78;A;4.21;A;17.33;A;59.85;A;15;A;9.34;A;89.42;A;1018.49;A;8;A;5;A;7;A;245;A;0;A;96.67;A
01.02.2025 13:30;95.99;A;4212.87;A;4213.53;A;8.43;A;6.03;A;5.31;A;17.23;A;59.98;A;15;A;9.45;A;88.47;A;1018.41;A;8;A;4;A;7;A;222;A;0;A;270;A
01.02.2025 13:45;95.99;A;4212.8;A;4213.47;A;13.69;A;9.64;A;8.49;A;16.96;A;59.93;A;15;A;9.52;A;87.47;A;1018.28;A;9;A;3;A;6;A;216;A;0;A;136.67;A
01.02.2025 14:00;95.98;A;4212.87;A;4213.4;A;12.72;A;8.97;A;7.9;A;16.82;A;59.93;A;16;A;9.62;A;85.75;A;1018.3;A;9;A;4;A;7;A;212;A;0;A;123.33;A
01.02.2025 14:15;95.98;A;4212.93;A;4213.73;A;12.25;A;8.65;A;7.62;A;16.99;A;59.8;A;16;A;9.86;A;85.65;A;1018.45;A;10;A;3;A;6;A;206;A;0;A;256.67;A
01.02.2025 14:30;95.98;A;4212.87;A;4213.73;A;9.54;A;6.79;A;5.98;A;16.61;A;60.07;A;16;A;9.68;A;85.02;A;1018.58;A;10;A;3;A;6;A;181;A;0.33;A;133.33;A
01.02.2025 14:45;95.98;A;4212.8;A;4213.87;A;18.32;A;12.81;A;11.29;A;16.49;A;60.04;A;18;A;9.49;A;85.03;A;1018.67;A;10;A;3;A;8;A;190;A;0;A;126.67;A
01.02.2025 15:00;95.98;A;4212.73;A;4213.6;A;20.16;A;14.07;A;12.4;A;16.77;A;60.12;A;18;A;9.32;A;86.98;A;1018.79;A;8;A;4;A;10;A;214;A;0.33;A;133.33;A
01.02.2025 15:15;95.98;A;4212.8;A;4213.33;A;13.39;A;9.43;A;8.31;A;16.7;A;59.8;A;16;A;9.41;A;85.81;A;1018.77;A;9;A;4;A;7;A;223;A;0.67;A;133.33;A
01.02.2025 15:30;95.98;A;4212.73;A;4213;A;13.32;A;9.38;A;8.27;A;16.44;A;60.17;A;18;A;9.42;A;85.62;A;1018.85;A;10;A;3;A;8;A;207;A;0;A;133.33;A
01.02.2025 15:45;95.98;A;4212.8;A;4213.87;A;13.26;A;9.34;A;8.23;A;16.43;A;59.97;A;17;A;9.45;A;86.4;A;1018.84;A;10;A;3;A;7;A;204;A;0.33;A;136.67;A
01.02.2025 16:00;95.98;A;4212.8;A;4213.87;A;14.3;A;10.24;A;8.88;A;16.65;A;59.81;A;18;A;9.37;A;85.82;A;1018.72;A;9;A;3;A;9;A;230;A;0.67;A;133.33;A
01.02.2025 16:15;95.98;A;4212.93;A;4213.67;A;15.57;A;10.93;A;9.62;A;16.39;A;60.09;A;19;A;9.3;A;85.75;A;1018.67;A;9;A;3;A;10;A;228;A;0.33;A;123.33;A
01.02.2025 16:30;95.98;A;4212.87;A;4213.67;A;18.94;A;13.24;A;11.66;A;16.52;A;60.13;A;17;A;9.12;A;87.34;A;1018.73;A;8;A;6;A;9;A;393;A;0;A;133.33;A
01.02.2025 16:45;95.97;A;4212.8;A;4213.4;A;22.63;A;15.77;A;13.89;A;16.85;A;60.03;A;16;A;9.08;A;88.78;A;1018.91;A;7;A;4;A;9;A;283;A;0;A;250;A
01.02.2025 17:00;95.97;A;4212.87;A;4213.33;A;32.81;A;22.76;A;20.04;A;16.71;A;59.8;A;16;A;8.98;A;87.45;A;1019.05;A;8;A;5;A;8;A;352;A;0.33;A;83.33;A
01.02.2025 17:15;95.97;A;4212.87;A;4214;A;54.59;A;37.7;A;33.2;A;16.06;A;60.05;A;14;A;8.55;A;88.56;A;1019.43;A;7;A;5;A;7;A;248;A;0;A;86.67;A
01.02.2025 17:30;95.97;A;4212.8;A;4212.8;A;52.84;A;36.5;A;32.14;A;16.08;A;60.01;A;14;A;8.24;A;89.46;A;1019.38;A;7;A;6;A;8;A;271;A;0;A;126.67;A
01.02.2025 17:45;95.97;A;4212.73;A;4213.73;A;43.51;A;30.09;A;26.5;A;15.78;A;60.03;A;14;A;7.97;A;89.69;A;1019.41;A;7;A;6;A;6;A;251;A;0.33;A;116.67;A
01.02.2025 18:00;95.97;A;4212.73;A;4213.33;A;36;A;24.94;A;21.97;A;15.35;A;59.98;A;15;A;7.72;A;89.1;A;1019.71;A;10;A;5;A;5;A;221;A;0;A;113.33;A
01.02.2025 18:15;95.97;A;4213;A;4213.93;A;33.96;A;23.54;A;20.74;A;15.02;A;60.09;A;17;A;7.52;A;88.71;A;1019.77;A;12;A;4;A;6;A;210;A;0;A;120;A
01.02.2025 18:30;95.97;A;4212.87;A;4213.13;A;38.25;A;26.48;A;23.32;A;15.15;A;59.99;A;17;A;7.39;A;89.46;A;1019.91;A;11;A;4;A;6;A;254;A;0;A;203.33;A
01.02.2025 18:45;95.97;A;4212.8;A;4212.93;A;44.32;A;30.65;A;27;A;14.89;A;60;A;17;A;7.27;A;89.1;A;1019.96;A;11;A;4;A;6;A;229;A;0.67;A;126.67;A
01.02.2025 19:00;95.97;A;4212.87;A;4213.33;A;26.41;A;18.98;A;16.05;A;14.18;A;59.55;A;19;A;7;A;85.24;A;1020.1;A;15;A;3;A;5;A;274;A;0;A;13.33;A
01.02.2025 19:15;95.97;A;4212.87;A;4213.4;A;16.18;A;11.35;A;10;A;13.56;A;59.96;A;23;A;6.65;A;85.51;A;1020.3;A;17;A;3;A;6;A;204;A;0.33;A;130;A
01.02.2025 19:30;95.96;A;4206.07;A;4204.47;A;13.37;A;9.61;A;8.25;A;13.19;A;59.97;A;24;A;6.36;A;85.53;A;1020.32;A;19;A;2;A;5;A;182;A;0.67;A;236.67;A
01.02.2025 19:45;95.72;A;4184.47;A;4180.93;A;12.02;A;8.46;A;7.32;A;12.51;A;60.11;A;26;A;5.94;A;85.25;A;1020.39;A;22;A;2;A;5;A;134;A;0;A;93.33;A
01.02.2025 20:00;95.71;A;4210.2;A;4211;A;11.56;A;8.34;A;7.17;A;12.41;A;59.92;A;26;A;5.54;A;85.78;A;1020.42;A;22;A;5;A;4;A;471;A;0.33;A;130;A
01.02.2025 20:15;95.81;A;4211.6;A;4212.2;A;7.3;A;5.25;A;4.63;A;12.07;A;60.17;A;27;A;5.13;A;86.36;A;1020.22;A;23;A;2;A;4;A;105;A;1;A;133.33;A
01.02.2025 20:30;95.86;A;4211.93;A;4212.07;A;5.54;A;4.05;A;3.57;A;11.9;A;59.94;A;28;A;4.91;A;86.89;A;1020.18;A;23;A;1;A;5;A;107;A;1;A;136.67;A
01.02.2025 20:45;95.9;A;4212.73;A;4212.4;A;7.58;A;5.45;A;4.8;A;12.11;A;60.04;A;28;A;4.84;A;88.18;A;1020.37;A;22;A;2;A;5;A;467;A;0.67;A;116.67;A
01.02.2025 21:00;95.92;A;4212.8;A;4212.73;A;12.01;A;8.48;A;7.47;A;12.27;A;59.98;A;26;A;4.88;A;88.86;A;1020.28;A;21;A;2;A;5;A;640;A;0;A;130;A
01.02.2025 21:15;95.94;A;4212.73;A;4212.6;A;9.69;A;6.89;A;6.07;A;12.14;A;59.88;A;26;A;4.79;A;87.92;A;1020.15;A;22;A;1;A;4;A;125;A;0;A;86.67;A
01.02.2025 21:30;95.95;A;4212.67;A;4213;A;8.09;A;5.79;A;5.1;A;11.69;A;60.02;A;26;A;4.55;A;86.79;A;1020.26;A;22;A;1;A;4;A;100;A;0;A;133.33;A
01.02.2025 21:45;95.95;A;4212.8;A;4213;A;9.86;A;7.01;A;6.17;A;11.52;A;60.08;A;26;A;4.19;A;88.97;A;1020.44;A;21;A;1;A;5;A;108;A;0.33;A;130;A
01.02.2025 22:00;95.96;A;4212.93;A;4213.07;A;8.9;A;6.35;A;5.6;A;11.45;A;59.91;A;25;A;4.03;A;88.81;A;1020.64;A;20;A;2;A;5;A;118;A;0;A;126.67;A
01.02.2025 22:15;95.96;A;4213;A;4213.4;A;6.76;A;4.88;A;4.3;A;11.12;A;59.98;A;25;A;4;A;88.05;A;1020.76;A;21;A;1;A;4;A;102;A;0;A;193.33;A
01.02.2025 22:30;95.96;A;4212.87;A;4212.67;A;8.52;A;6.09;A;5.37;A;11.09;A;60.11;A;24;A;3.77;A;88.97;A;1020.89;A;20;A;1;A;5;A;114;A;0;A;66.67;A
01.02.2025 22:45;95.96;A;4213.2;A;4213;A;13.63;A;9.6;A;8.45;A;11.2;A;59.95;A;24;A;3.75;A;88.91;A;1021.03;A;19;A;1;A;5;A;132;A;0;A;330;A
01.02.2025 23:00;95.96;A;4212.93;A;4212.53;A;10.4;A;7.38;A;6.5;A;11.01;A;59.99;A;23;A;3.52;A;88.67;A;1021.07;A;19;A;1;A;4;A;171;A;0.33;A;266.67;A
01.02.2025 23:15;95.96;A;4213.27;A;4212.87;A;9.35;A;6.66;A;5.87;A;10.66;A;59.98;A;24;A;3.23;A;89.14;A;1021.08;A;19;A;1;A;5;A;144;A;1;A;330;A
01.02.2025 23:30;95.96;A;4213.13;A;4212.8;A;7.76;A;5.57;A;4.9;A;10.7;A;59.94;A;23;A;3.07;A;90.35;A;1021.19;A;18;A;1;A;5;A;117;A;0;A;326.67;A
01.02.2025 23:45;95.96;A;4213.2;A;4212.4;A;7.76;A;5.57;A;4.9;A;10.55;A;60.07;A;22;A;2.99;A;90.62;A;1021.34;A;18;A;1;A;4;A;105;A;0.33;A;330;A
02.02.2025 00:00;95.96;A;4213.2;A;4212.8;A;7.42;A;5.34;A;4.7;A;10.43;A;59.93;A;22;A;2.72;A;90.47;A;1021.38;A;18;A;1;A;4;A;98;A;0.67;A;326.67;A
02.02.2025 00:15;95.96;A;4213.73;A;4213.07;A;8.74;A;6.24;A;5.5;A;10.12;A;59.97;A;22;A;2.57;A;89.45;A;1021.44;A;18;A;1;A;4;A;103;A;0.33;A;320;A
02.02.2025 00:30;95.96;A;4213.4;A;4212.33;A;8.89;A;6.34;A;5.59;A;9.74;A;60.06;A;20;A;2.44;A;88.84;A;1021.36;A;16;A;2;A;4;A;102;A;0.33;A;333.33;A
02.02.2025 00:45;95.96;A;4213.53;A;4212.8;A;10.29;A;7.3;A;6.43;A;9.51;A;60.23;A;20;A;2.27;A;89.11;A;1021.42;A;16;A;2;A;4;A;106;A;0.33;A;276.67;A
02.02.2025 01:00;95.96;A;4213.73;A;4212.33;A;11.23;A;7.95;A;7;A;9.46;A;59.95;A;18;A;2.16;A;88.36;A;1021.41;A;14;A;2;A;4;A;115;A;0.33;A;330;A
02.02.2025 01:15;95.96;A;4213.33;A;4212.4;A;11.46;A;8.11;A;7.14;A;9.1;A;59.93;A;19;A;1.99;A;88.12;A;1021.4;A;15;A;1;A;4;A;114;A;1;A;340;A
02.02.2025 01:30;95.96;A;4213.27;A;4212.6;A;12.01;A;8.48;A;7.47;A;8.99;A;60.16;A;19;A;1.81;A;89.69;A;1021.45;A;15;A;2;A;4;A;112;A;0.33;A;323.33;A
02.02.2025 01:45;95.96;A;4213.4;A;4212.53;A;10.85;A;7.87;A;6.79;A;8.99;A;59.98;A;18;A;1.75;A;88.56;A;1021.32;A;15;A;2;A;4;A;113;A;0.33;A;333.33;A
02.02.2025 02:00;95.95;A;4213.4;A;4211.93;A;10.56;A;7.49;A;6.6;A;9.13;A;59.99;A;18;A;1.56;A;90.03;A;1021.51;A;14;A;2;A;4;A;111;A;0;A;260;A
02.02.2025 02:15;95.95;A;4213.47;A;4212.47;A;10.51;A;7.45;A;6.57;A;8.93;A;59.9;A;17;A;1.33;A;90.74;A;1021.54;A;13;A;2;A;3;A;109;A;0;A;136.67;A
02.02.2025 02:30;95.95;A;4213.6;A;4212.4;A;10.52;A;7.46;A;6.57;A;8.78;A;59.97;A;17;A;1.29;A;89.62;A;1021.59;A;13;A;2;A;4;A;107;A;0;A;256.67;A
02.02.2025 02:45;95.95;A;4213.53;A;4212.53;A;10.97;A;7.77;A;6.84;A;8.49;A;60.13;A;19;A;1.16;A;89.17;A;1021.53;A;14;A;2;A;5;A;119;A;0;A;246.67;A
02.02.2025 03:00;95.95;A;4213.47;A;4212.47;A;12.01;A;8.48;A;7.47;A;8.64;A;59.9;A;17;A;0.99;A;90.85;A;1021.35;A;12;A;3;A;5;A;126;A;0;A;173.33;A
02.02.2025 03:15;95.95;A;4213.67;A;4212;A;11.21;A;7.94;A;6.99;A;8.37;A;60.03;A;18;A;0.95;A;90.44;A;1021.19;A;13;A;2;A;5;A;121;A;0;A;263.33;A
02.02.2025 03:30;95.95;A;4213.73;A;4212;A;10.7;A;7.59;A;6.68;A;8.57;A;59.86;A;16;A;0.78;A;91.38;A;1021.19;A;12;A;2;A;5;A;122;A;0;A;176.67;A
02.02.2025 03:45;95.95;A;4213.53;A;4212;A;10.85;A;7.69;A;6.77;A;8.38;A;60.01;A;16;A;0.78;A;91.04;A;1021.22;A;12;A;2;A;5;A;123;A;0;A;320;A
02.02.2025 04:00;95.95;A;4213.67;A;4211.8;A;10.73;A;7.61;A;6.7;A;8.53;A;60;A;17;A;0.8;A;91.62;A;1021.36;A;13;A;2;A;4;A;118;A;0;A;203.33;A
02.02.2025 04:15;95.95;A;4213.6;A;4212.47;A;12.3;A;8.68;A;7.65;A;8.56;A;60.01;A;17;A;0.83;A;92;A;1021.37;A;12;A;2;A;5;A;121;A;0;A;110;A
02.02.2025 04:30;95.95;A;4213.73;A;4212.87;A;13.98;A;9.77;A;8.37;A;7.95;A;60.16;A;18;A;0.88;A;88.39;A;1021.47;A;13;A;2;A;5;A;125;A;0;A;253.33;A
02.02.2025 04:45;95.95;A;4213.6;A;4212.2;A;17.22;A;11.95;A;10.13;A;8.16;A;59.96;A;18;A;0.76;A;90.37;A;1021.42;A;13;A;2;A;6;A;132;A;0;A;253.33;A
02.02.2025 05:00;95.95;A;4213.47;A;4211.6;A;15.56;A;11.07;A;9.66;A;8.13;A;59.91;A;18;A;0.72;A;88.59;A;1021.51;A;12;A;2;A;6;A;132;A;0;A;173.33;A
02.02.2025 05:15;95.94;A;4213.47;A;4212.27;A;14.22;A;10.39;A;8.39;A;7.67;A;59.54;A;19;A;0.72;A;87.94;A;1021.34;A;13;A;2;A;6;A;120;A;0;A;256.67;A
02.02.2025 05:30;95.94;A;4213.73;A;4212.13;A;12.95;A;9.31;A;8.09;A;7.68;A;59.49;A;19;A;0.69;A;87.21;A;1021.28;A;13;A;2;A;6;A;119;A;0.33;A;266.67;A
02.02.2025 05:45;95.82;A;4195.67;A;4192.07;A;12.14;A;8.57;A;7.55;A;7.35;A;60.12;A;19;A;0.57;A;86.99;A;1021.16;A;13;A;2;A;6;A;114;A;0;A;273.33;A
02.02.2025 06:00;95.81;A;4211.93;A;4211.13;A;12.36;A;8.72;A;7.68;A;7.54;A;59.91;A;18;A;0.48;A;88.74;A;1021.24;A;13;A;2;A;6;A;116;A;0;A;146.67;A
02.02.2025 06:15;95.86;A;4212.8;A;4211.8;A;12.7;A;8.95;A;7.89;A;7.28;A;60.37;A;19;A;0.42;A;88.81;A;1021.29;A;12;A;2;A;7;A;145;A;0;A;266.67;A
02.02.2025 06:30;95.89;A;4213;A;4212.47;A;14.09;A;9.91;A;8.73;A;7.64;A;59.55;A;17;A;0.41;A;87.48;A;1021.49;A;11;A;2;A;6;A;136;A;0.33;A;313.33;A
