"timestamp";"BC~0893-QM[Cairnet CXM24240893]";"in %";"Uout~0893-QM[Cairnet CXM24240893]";"in mV";"Uin~0893-QM[Cairnet CXM24240893]";"in mV";"PM10~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM2.5~D598-QM[Cairnet CXM24240893]";"in µg/m3";"PM1~D598-QM[Cairnet CXM24240893]";"in µg/m3";"TC~D598-QM[Cairnet CXM24240893]";"in °C";"HR~D598-QM[Cairnet CXM24240893]";"in %";"O3-NO2~4704-QM[Cairnet CXM24240893]";"in ppb";"TC~T-QM[Cairnet CXM24240893]";"in °C";"HR~T-QM[Cairnet CXM24240893]";"in %";"PA~T-QM[Cairnet CXM24240893]";"in hPa";"O3~0893-QM[Cairnet CXM24240893]";"in ppb";"SO2~4734-QM[Cairnet CXM24240893]";"in ppb";"NO2~4787-QM[Cairnet CXM24240893]";"in ppb";"CO~4687-QM[Cairnet CXM24240893]";"in ppb";"VV~M-QM[Cairnet CXM24240893]";"in m/s";"DV~M-QM[Cairnet CXM24240893]";"in degre"
"(in display TZ)";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc";"value";"qc"
"2025-09-01 00:15";;"N";;"N";;"N";39.41;"A";25.49;"A";17.86;"A";30.22;"A";48.35;"A";20;"A";22.85;"A";61.6;"A";1001.95;"A";0;"A";6;"A";29;"A";552;"A";0.33;"A";156.67;"A"
"2025-09-01 00:30";;"N";;"N";;"N";35.29;"A";22.42;"A";15.74;"A";30.01;"A";48.25;"A";22;"A";22.73;"A";61.16;"A";1001.96;"A";0;"A";4;"A";29;"A";453;"A";0;"A";243.33;"A"
"2025-09-01 00:45";;"N";;"N";;"N";26.06;"A";15.35;"A";10.38;"A";29.9;"A";44.92;"A";25;"A";22.98;"A";54.7;"A";1002;"A";3;"A";1;"A";23;"A";234;"A";0.33;"A";310;"A"
"2025-09-01 01:00";;"N";;"N";;"N";24.22;"A";13.43;"A";8.58;"A";29.94;"A";43.36;"A";30;"A";23.16;"A";53.58;"A";1002.09;"A";7;"A";0;"A";23;"A";167;"A";0;"A";303.33;"A"
"2025-09-01 01:15";;"N";;"N";;"N";23.21;"A";11.83;"A";8.17;"A";30.03;"A";43.46;"A";30;"A";23.19;"A";53.68;"A";1002.03;"A";9;"A";1;"A";20;"A";155;"A";0;"A";200;"A"
"2025-09-01 01:30";;"N";;"N";;"N";20.12;"A";10.55;"A";7.32;"A";30.1;"A";43.94;"A";31;"A";23.18;"A";54.68;"A";1002.09;"A";10;"A";1;"A";20;"A";136;"A";0.33;"A";140;"A"
"2025-09-01 01:45";;"N";;"N";;"N";18.62;"A";9.83;"A";6.41;"A";30.16;"A";44.88;"A";30;"A";23.31;"A";55.74;"A";1001.93;"A";12;"A";1;"A";17;"A";119;"A";0;"A";193.33;"A"
"2025-09-01 02:00";;"N";;"N";;"N";16.04;"A";8.98;"A";6.1;"A";30.22;"A";45.69;"A";29;"A";23.28;"A";56.87;"A";1001.83;"A";15;"A";1;"A";14;"A";109;"A";0;"A";190;"A"
"2025-09-01 02:15";;"N";;"N";;"N";17.15;"A";8.91;"A";6.48;"A";30.21;"A";46.63;"A";30;"A";23.06;"A";58.55;"A";1001.78;"A";16;"A";1;"A";13;"A";107;"A";0;"A";120;"A"
